               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081312,            0.077653,            0.081506,            0.048393,             0.29797,            0.058048,            0.028174,            0.048335,            0.023168,            0.073893,            0.070385,           0.0032906,           0.0032906
                   1,             0.06431,             0.07256,            0.073066,             0.17628,             0.35871,             0.12781,            0.059321,            0.042739,            0.019196,            0.068097,            0.040363,           0.0066021,           0.0066021
                   2,            0.059294,            0.067895,            0.067991,             0.23369,              0.3829,             0.24307,             0.11321,             0.04355,            0.018686,             0.05801,            0.010319,           0.0098915,           0.0098915
                   3,            0.055386,            0.069625,            0.060292,             0.30693,             0.48655,             0.36314,             0.20662,             0.03734,            0.018596,            0.047345,            0.009901,            0.009901,            0.009901
                   4,             0.05277,            0.065106,            0.054643,             0.59918,             0.48609,             0.49504,             0.29816,            0.033296,            0.017741,            0.039253,            0.009901,            0.009901,            0.009901
                   5,            0.051017,            0.066568,            0.051172,             0.70971,             0.49161,             0.50969,             0.29922,            0.033855,            0.018173,            0.035185,            0.009868,            0.009868,            0.009868
                   6,            0.050153,            0.066813,            0.049014,             0.52742,             0.63121,             0.56962,             0.32509,            0.033061,            0.017775,            0.032899,            0.009835,            0.009835,            0.009835
                   7,            0.049306,            0.064969,            0.047271,             0.52638,              0.7003,             0.58453,             0.34898,            0.031173,            0.017697,             0.03093,            0.009802,            0.009802,            0.009802
                   8,            0.049206,            0.066035,            0.046306,             0.44303,             0.69119,             0.59444,             0.35354,            0.032292,            0.018093,            0.033078,            0.009769,            0.009769,            0.009769
                   9,            0.048455,            0.065311,             0.04534,             0.46877,             0.76533,             0.60072,             0.37562,            0.030544,            0.017737,            0.030221,            0.009736,            0.009736,            0.009736
                  10,             0.04781,            0.065262,            0.044468,             0.51416,              0.7819,             0.63641,             0.41283,             0.03097,            0.017371,            0.026119,            0.009703,            0.009703,            0.009703
                  11,            0.047681,            0.065602,            0.043818,             0.52887,             0.76337,             0.66186,             0.41972,            0.029882,            0.017504,            0.028384,             0.00967,             0.00967,             0.00967
                  12,            0.046937,            0.064675,            0.042985,             0.59366,             0.76863,             0.68369,              0.4244,            0.030597,            0.017368,            0.025923,            0.009637,            0.009637,            0.009637
                  13,            0.046697,            0.063981,            0.042467,             0.56462,             0.76244,             0.67878,             0.45819,            0.029308,            0.017145,            0.025655,            0.009604,            0.009604,            0.009604
                  14,             0.04668,            0.064618,            0.041666,             0.55228,              0.7696,             0.67888,             0.45471,            0.029383,            0.017196,            0.025916,            0.009571,            0.009571,            0.009571
                  15,            0.046457,            0.063849,             0.04128,             0.62424,             0.73656,             0.68863,             0.45929,            0.030021,            0.017257,            0.025599,            0.009538,            0.009538,            0.009538
                  16,            0.046128,            0.062389,            0.040741,             0.62291,             0.77709,             0.72166,             0.46892,            0.030322,            0.017476,            0.025645,            0.009505,            0.009505,            0.009505
                  17,            0.045514,            0.063123,            0.040411,             0.66123,             0.77075,             0.72307,             0.49098,            0.029309,            0.017329,            0.023334,            0.009472,            0.009472,            0.009472
                  18,            0.046095,            0.064572,            0.039977,              0.6567,             0.76395,             0.73561,             0.49604,              0.0285,            0.017052,            0.022926,            0.009439,            0.009439,            0.009439
                  19,            0.045592,            0.063282,             0.03961,             0.64484,             0.79316,              0.7312,               0.491,            0.029067,            0.017151,            0.023047,            0.009406,            0.009406,            0.009406
                  20,            0.045135,            0.063425,            0.039087,             0.64092,              0.7814,             0.73837,             0.49619,            0.028751,            0.017234,            0.023638,            0.009373,            0.009373,            0.009373
                  21,            0.045264,             0.06218,            0.038558,             0.64676,             0.79586,             0.74364,              0.5045,            0.029423,            0.017131,            0.023826,             0.00934,             0.00934,             0.00934
                  22,            0.045053,            0.063843,            0.038421,             0.67063,             0.81376,             0.77994,             0.53351,            0.028036,            0.016993,            0.022813,            0.009307,            0.009307,            0.009307
                  23,            0.044574,            0.061835,             0.03813,             0.68228,             0.78669,             0.75946,             0.52096,            0.028792,              0.0172,            0.022896,            0.009274,            0.009274,            0.009274
