               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089928,            0.074861,            0.085871,             0.02745,             0.22401,            0.034221,            0.011835,            0.053444,            0.030515,            0.077616,            0.070385,           0.0032906,           0.0032906
                   1,            0.066073,            0.076123,            0.075503,            0.073547,             0.26823,            0.072616,            0.033027,            0.044988,            0.021324,            0.071951,            0.040363,           0.0066021,           0.0066021
                   2,            0.062049,            0.072608,            0.072327,            0.081146,             0.27204,            0.088703,             0.03685,            0.045503,              0.0209,            0.067528,            0.010319,           0.0098915,           0.0098915
                   3,            0.059158,            0.074453,            0.069308,            0.096069,             0.29435,             0.13107,            0.062129,            0.039768,            0.020712,            0.063636,            0.009901,            0.009901,            0.009901
                   4,            0.056872,            0.070049,            0.065455,             0.27512,             0.30258,             0.20303,             0.10495,            0.037426,            0.020314,            0.058703,            0.009901,            0.009901,            0.009901
                   5,            0.055487,            0.071387,            0.062451,             0.29162,             0.33805,              0.2605,             0.13081,            0.038404,            0.019669,            0.053237,            0.009868,            0.009868,            0.009868
                   6,            0.054971,            0.071365,            0.059987,             0.43602,             0.39516,             0.31491,             0.15243,            0.038183,            0.019591,             0.04994,            0.009835,            0.009835,            0.009835
                   7,            0.053984,            0.069805,             0.05776,             0.52034,             0.38679,             0.35757,             0.19009,            0.035876,            0.019459,            0.046865,            0.009802,            0.009802,            0.009802
                   8,            0.053988,            0.070899,            0.056245,              0.6533,             0.35901,              0.3908,             0.20122,            0.036305,            0.019678,            0.046486,            0.009769,            0.009769,            0.009769
                   9,             0.05352,             0.07023,            0.054873,               0.571,             0.41177,             0.39962,             0.21105,            0.036526,            0.019834,            0.041926,            0.009736,            0.009736,            0.009736
                  10,            0.052943,            0.070158,            0.053657,             0.60689,             0.42544,             0.44368,             0.24489,            0.034739,            0.019207,            0.039248,            0.009703,            0.009703,            0.009703
                  11,            0.052585,            0.070795,            0.052937,             0.68164,             0.41156,              0.4567,             0.24771,            0.034928,            0.019512,            0.039446,             0.00967,             0.00967,             0.00967
                  12,            0.052043,            0.069858,             0.05187,             0.38907,             0.53725,              0.4573,             0.23381,            0.036831,            0.019713,            0.040992,            0.009637,            0.009637,            0.009637
                  13,            0.051732,            0.068948,            0.051018,             0.40565,             0.59244,             0.48005,             0.26671,            0.034792,            0.019466,            0.038359,            0.009604,            0.009604,            0.009604
                  14,            0.051736,            0.069983,            0.050403,             0.50198,             0.57284,             0.51838,             0.29676,             0.03469,            0.019006,            0.035188,            0.009571,            0.009571,            0.009571
                  15,            0.051567,            0.069224,            0.049911,             0.42719,             0.63134,             0.51738,             0.28559,             0.03455,             0.01895,            0.036306,            0.009538,            0.009538,            0.009538
                  16,             0.05139,             0.06752,            0.049255,             0.41727,             0.63352,             0.53254,             0.29968,            0.034514,            0.018978,            0.033788,            0.009505,            0.009505,            0.009505
                  17,            0.050826,            0.068473,            0.048719,             0.43419,             0.63467,             0.54528,             0.30634,            0.034663,            0.019566,            0.033169,            0.009472,            0.009472,            0.009472
                  18,            0.051372,            0.069984,            0.048465,              0.5668,             0.61121,             0.56368,             0.31677,            0.033285,             0.01892,            0.032661,            0.009439,            0.009439,            0.009439
                  19,            0.050823,            0.068695,            0.048058,              0.4457,              0.6944,             0.56135,             0.32319,            0.033992,            0.018693,            0.029818,            0.009406,            0.009406,            0.009406
                  20,            0.050464,            0.068846,            0.047546,              0.4551,             0.69053,             0.54876,              0.3159,            0.033783,             0.01918,            0.035062,            0.009373,            0.009373,            0.009373
                  21,            0.050503,            0.067629,            0.047241,             0.44379,             0.71912,             0.59013,             0.34922,            0.033094,            0.018278,            0.030783,             0.00934,             0.00934,             0.00934
                  22,            0.050432,            0.069588,            0.047148,             0.42039,             0.67647,             0.59098,             0.32743,             0.03388,            0.018733,             0.03182,            0.009307,            0.009307,            0.009307
                  23,            0.049949,            0.067549,            0.046871,             0.46333,              0.7151,             0.58436,             0.35029,            0.033545,            0.018405,            0.032456,            0.009274,            0.009274,            0.009274
                  24,            0.049994,            0.068513,            0.046016,             0.47955,             0.73577,             0.61691,             0.36229,            0.033277,            0.018505,            0.029892,            0.009241,            0.009241,            0.009241
                  25,            0.050008,            0.069578,            0.046261,             0.46631,             0.74345,             0.59153,             0.35053,            0.033502,            0.018589,            0.030513,            0.009208,            0.009208,            0.009208
                  26,            0.050165,            0.067803,            0.046412,             0.49453,             0.75118,             0.60454,             0.35605,            0.032885,            0.018514,             0.02974,            0.009175,            0.009175,            0.009175
                  27,             0.04949,            0.067575,            0.045822,             0.46256,             0.71282,             0.60608,             0.35163,            0.032598,            0.018592,            0.030278,            0.009142,            0.009142,            0.009142
                  28,            0.049286,            0.067212,            0.045262,             0.47391,             0.69602,             0.60526,             0.34745,            0.032828,              0.0187,            0.030359,            0.009109,            0.009109,            0.009109
                  29,            0.049352,            0.066803,            0.045304,              0.5209,             0.76538,             0.64381,             0.38784,            0.032782,            0.018241,            0.029073,            0.009076,            0.009076,            0.009076
                  30,            0.049549,            0.067977,            0.044692,             0.47401,             0.73796,             0.60848,             0.37464,            0.032803,            0.018449,            0.029808,            0.009043,            0.009043,            0.009043
                  31,            0.049138,            0.067141,            0.044632,             0.53405,             0.72466,             0.64436,             0.39134,            0.032654,             0.01843,             0.02924,             0.00901,             0.00901,             0.00901
                  32,            0.049001,            0.067159,            0.044882,             0.53104,               0.748,             0.64371,             0.39995,            0.031656,            0.018028,            0.028661,            0.008977,            0.008977,            0.008977
                  33,            0.049423,            0.067459,            0.044638,             0.54223,              0.7267,             0.64403,             0.38829,            0.032983,             0.01822,            0.029291,            0.008944,            0.008944,            0.008944
                  34,            0.048926,            0.065831,            0.044491,             0.59649,             0.74932,             0.66974,             0.41172,            0.032681,             0.01823,            0.026896,            0.008911,            0.008911,            0.008911
                  35,            0.049256,            0.067297,            0.044152,             0.55148,             0.76268,             0.67326,             0.41938,             0.03223,            0.018131,            0.026836,            0.008878,            0.008878,            0.008878
                  36,             0.04915,            0.067478,            0.044083,             0.54708,             0.71359,             0.64432,             0.40191,            0.031931,            0.018094,            0.027955,            0.008845,            0.008845,            0.008845
                  37,            0.049131,            0.069013,            0.043924,             0.58625,             0.73099,             0.66219,             0.40852,            0.032685,            0.018302,            0.027564,            0.008812,            0.008812,            0.008812
                  38,            0.048774,            0.067229,             0.04407,             0.59125,             0.71536,             0.67347,             0.41934,             0.03226,             0.01822,            0.026454,            0.008779,            0.008779,            0.008779
                  39,            0.048857,            0.067979,            0.043397,             0.55765,             0.72631,             0.66761,             0.41136,            0.032076,            0.018371,            0.027418,            0.008746,            0.008746,            0.008746
                  40,            0.048445,            0.067065,            0.043527,             0.60776,             0.71605,             0.68595,             0.42269,            0.032997,            0.018152,            0.026469,            0.008713,            0.008713,            0.008713
                  41,            0.048713,            0.066739,            0.043141,             0.62094,             0.72831,               0.695,             0.43203,            0.031861,            0.018078,             0.02699,             0.00868,             0.00868,             0.00868
                  42,             0.04843,            0.066859,            0.043156,             0.60799,             0.73947,             0.69972,             0.43957,            0.032383,            0.018168,             0.02509,            0.008647,            0.008647,            0.008647
                  43,            0.048314,            0.067309,            0.043064,             0.59239,             0.73894,             0.68317,             0.43101,            0.031421,            0.018055,            0.026592,            0.008614,            0.008614,            0.008614
                  44,             0.04852,            0.066766,            0.043823,             0.61576,             0.76085,             0.71574,             0.44666,            0.031227,            0.017987,            0.024157,            0.008581,            0.008581,            0.008581
                  45,              0.0482,            0.066958,            0.043081,             0.60878,             0.75833,             0.70344,             0.44208,            0.031372,            0.018208,            0.025317,            0.008548,            0.008548,            0.008548
                  46,            0.048123,            0.066338,            0.042916,             0.57843,             0.75138,             0.69808,             0.43571,             0.03175,            0.018117,            0.025201,            0.008515,            0.008515,            0.008515
                  47,             0.04808,            0.066785,            0.043133,             0.62299,             0.76403,             0.71712,             0.45701,            0.030855,            0.017911,            0.024456,            0.008482,            0.008482,            0.008482
                  48,            0.048817,            0.068752,            0.042887,              0.5945,             0.71291,             0.68935,             0.43902,            0.031201,            0.017938,            0.027184,            0.008449,            0.008449,            0.008449
                  49,            0.048134,            0.066445,            0.042383,             0.61429,             0.74165,              0.7043,             0.45144,            0.031044,            0.017871,            0.026376,            0.008416,            0.008416,            0.008416
                  50,            0.047946,            0.066611,            0.042257,             0.63986,             0.78534,             0.72752,             0.46511,            0.030932,             0.01793,            0.023214,            0.008383,            0.008383,            0.008383
                  51,            0.048039,            0.065821,            0.042314,              0.6569,             0.75244,             0.71716,              0.4634,            0.030649,            0.017771,            0.024174,             0.00835,             0.00835,             0.00835
                  52,            0.047971,            0.065872,            0.042048,             0.62067,             0.75788,             0.71496,              0.4588,            0.030602,            0.017892,            0.024317,            0.008317,            0.008317,            0.008317
                  53,            0.048175,            0.066776,            0.041813,             0.64125,             0.77895,             0.73453,              0.4749,            0.030301,             0.01791,             0.02382,            0.008284,            0.008284,            0.008284
