               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099586,            0.087803,            0.085223,                   0,                   0,                   0,                   0,            0.096924,            0.038485,            0.080409,            0.070385,           0.0032906,           0.0032906
                   1,            0.087945,            0.089382,            0.078736,             0.72687,            0.037932,            0.014607,           0.0043085,            0.085478,            0.030697,            0.073903,            0.040363,           0.0066021,           0.0066021
                   2,            0.076654,            0.083197,            0.073616,             0.34321,            0.049428,            0.016375,           0.0048804,            0.067811,            0.060944,            0.075363,            0.010319,           0.0098915,           0.0098915
                   3,            0.070151,             0.08373,            0.070862,             0.21112,              0.1719,            0.070782,            0.023595,            0.056223,             0.02914,            0.066034,            0.009901,            0.009901,            0.009901
                   4,            0.065392,            0.078018,            0.068779,             0.21044,             0.23461,             0.11979,            0.048436,            0.046703,            0.025298,            0.061199,            0.009901,            0.009901,            0.009901
                   5,              0.0627,            0.078391,            0.066794,             0.28133,             0.19862,             0.10725,            0.042635,            0.051212,            0.026386,            0.061582,            0.009868,            0.009868,            0.009868
                   6,            0.060921,            0.077723,            0.065034,              0.3682,             0.31312,             0.18797,            0.076173,            0.044458,            0.021833,            0.056727,            0.009835,            0.009835,            0.009835
                   7,            0.059137,            0.075232,            0.063163,             0.32746,             0.32017,             0.20418,             0.08845,            0.043362,            0.023607,            0.054634,            0.009802,            0.009802,            0.009802
                   8,            0.058653,            0.075747,            0.061499,             0.61451,             0.28362,             0.22797,             0.10235,            0.043568,            0.021675,            0.052948,            0.009769,            0.009769,            0.009769
                   9,            0.057867,            0.074878,            0.060127,             0.68445,             0.28227,             0.30374,             0.13693,            0.039664,            0.021049,            0.048981,            0.009736,            0.009736,            0.009736
                  10,            0.056897,            0.074099,             0.05852,             0.66513,             0.31534,             0.32655,             0.15614,            0.039746,            0.021088,            0.046185,            0.009703,            0.009703,            0.009703
                  11,            0.056479,            0.074652,            0.057534,             0.68207,             0.31485,             0.37025,             0.17579,            0.038924,            0.021076,            0.045128,             0.00967,             0.00967,             0.00967
                  12,            0.055483,            0.073409,            0.056136,             0.63106,             0.37148,             0.40111,             0.19167,            0.038035,            0.020431,            0.042243,            0.009637,            0.009637,            0.009637
                  13,             0.05511,            0.072577,              0.0552,             0.65799,              0.3774,             0.40701,             0.19591,            0.038976,            0.020386,            0.041965,            0.009604,            0.009604,            0.009604
                  14,            0.055014,            0.073268,            0.054389,             0.67892,             0.39934,             0.42868,             0.22284,            0.037552,            0.019899,            0.040888,            0.009571,            0.009571,            0.009571
                  15,            0.054589,            0.072243,            0.053446,              0.4889,             0.51896,              0.4496,             0.22842,            0.038559,            0.019886,            0.037585,            0.009538,            0.009538,            0.009538
                  16,             0.05392,            0.070312,            0.052763,             0.51001,             0.53581,             0.47253,             0.24335,            0.037671,            0.019762,            0.035314,            0.009505,            0.009505,            0.009505
                  17,            0.053522,            0.071366,            0.052095,             0.50116,             0.57675,             0.51731,             0.27009,            0.037086,            0.019648,            0.034025,            0.009472,            0.009472,            0.009472
                  18,            0.053835,            0.072608,            0.051658,             0.56205,             0.55933,             0.51553,             0.27876,            0.035957,            0.019844,            0.034804,            0.009439,            0.009439,            0.009439
                  19,            0.053213,             0.07123,            0.051073,             0.41375,             0.57727,             0.49697,             0.25601,            0.038056,            0.020438,            0.035591,            0.009406,            0.009406,            0.009406
                  20,            0.052797,             0.07137,             0.05025,             0.55422,             0.58291,             0.53247,             0.28884,            0.035656,             0.01943,            0.032485,            0.009373,            0.009373,            0.009373
                  21,            0.052638,            0.069775,              0.0499,             0.44244,             0.60016,             0.51735,             0.27964,              0.0375,            0.019676,            0.033351,             0.00934,             0.00934,             0.00934
                  22,            0.052526,            0.071855,            0.049745,             0.56487,             0.59527,             0.55759,             0.30324,            0.035403,            0.019158,            0.031289,            0.009307,            0.009307,            0.009307
                  23,            0.052042,            0.069605,            0.049366,             0.47139,             0.64771,             0.55474,             0.31266,            0.035787,            0.018939,            0.031085,            0.009274,            0.009274,            0.009274
                  24,            0.051967,            0.070517,            0.048352,             0.53291,             0.63432,             0.56904,             0.30969,            0.035537,            0.019285,            0.031695,            0.009241,            0.009241,            0.009241
                  25,             0.05186,            0.071519,            0.048497,             0.44616,             0.66741,             0.56909,             0.32582,            0.035056,            0.019172,            0.030148,            0.009208,            0.009208,            0.009208
                  26,            0.051886,            0.069474,            0.048433,              0.4919,             0.66352,              0.5702,             0.32489,            0.034466,            0.018902,            0.030025,            0.009175,            0.009175,            0.009175
                  27,            0.051323,            0.069158,            0.047848,             0.47674,             0.62733,             0.55198,             0.30617,            0.035114,            0.019472,            0.031511,            0.009142,            0.009142,            0.009142
                  28,            0.050826,            0.068816,            0.047138,             0.47762,             0.67988,             0.58086,             0.32347,            0.035172,            0.019024,            0.030297,            0.009109,            0.009109,            0.009109
                  29,            0.050895,            0.068278,            0.047071,             0.43882,             0.65611,              0.5809,             0.33439,             0.03386,            0.018732,            0.029501,            0.009076,            0.009076,            0.009076
                  30,            0.050999,            0.069522,            0.046536,             0.50649,             0.68221,             0.60364,             0.34418,            0.034254,            0.018841,            0.029706,            0.009043,            0.009043,            0.009043
                  31,            0.050652,            0.068636,            0.046246,             0.48089,             0.69984,             0.61058,             0.35433,            0.034141,            0.018934,            0.028771,             0.00901,             0.00901,             0.00901
                  32,             0.05034,            0.068889,            0.046563,             0.50484,             0.71839,              0.6061,             0.35551,             0.03381,            0.018707,            0.028168,            0.008977,            0.008977,            0.008977
                  33,            0.050785,            0.068772,            0.046094,             0.53675,             0.71328,             0.63199,             0.37089,            0.033389,            0.018542,            0.027496,            0.008944,            0.008944,            0.008944
                  34,            0.050049,              0.0672,            0.045827,             0.50581,             0.73148,             0.61667,             0.36425,            0.033921,            0.018842,            0.027623,            0.008911,            0.008911,            0.008911
                  35,            0.050448,             0.06854,            0.045604,             0.48349,             0.74293,             0.61611,             0.36805,            0.033802,            0.018583,            0.028224,            0.008878,            0.008878,            0.008878
                  36,            0.050268,            0.068603,             0.04538,             0.51215,             0.74452,             0.62184,             0.37017,            0.033396,            0.018578,            0.026664,            0.008845,            0.008845,            0.008845
                  37,            0.050059,            0.070029,            0.045123,             0.51827,             0.74372,             0.64507,             0.38484,            0.033604,            0.018336,            0.026906,            0.008812,            0.008812,            0.008812
                  38,            0.049836,            0.068253,            0.045198,             0.49665,             0.72572,             0.62973,               0.382,            0.034188,            0.018626,            0.028229,            0.008779,            0.008779,            0.008779
                  39,            0.049806,            0.068934,            0.044614,             0.54283,             0.75157,             0.66033,             0.40476,            0.032811,            0.018128,            0.025911,            0.008746,            0.008746,            0.008746
                  40,             0.04928,            0.067873,            0.044508,             0.51024,             0.76514,             0.64998,             0.39236,            0.032714,            0.018295,            0.025791,            0.008713,            0.008713,            0.008713
                  41,            0.049564,            0.067739,            0.044064,             0.55006,             0.74671,             0.66165,             0.40504,            0.032027,            0.018219,            0.026469,             0.00868,             0.00868,             0.00868
                  42,            0.049329,              0.0678,            0.044032,             0.53165,             0.74705,             0.65727,             0.40005,            0.032746,            0.018426,            0.026608,            0.008647,            0.008647,            0.008647
                  43,            0.049169,            0.068091,            0.043839,             0.55161,             0.76598,             0.66103,             0.40517,            0.032831,            0.018429,            0.025616,            0.008614,            0.008614,            0.008614
                  44,            0.049221,            0.067629,            0.044637,             0.58893,             0.75661,             0.67927,              0.4182,            0.032213,            0.018205,            0.024711,            0.008581,            0.008581,            0.008581
                  45,            0.048996,             0.06779,            0.043812,             0.56338,             0.76668,             0.67208,             0.41247,            0.032354,            0.018253,            0.024824,            0.008548,            0.008548,            0.008548
