               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10334,            0.052546,            0.085509,                   0,                   0,                   0,                   0,            0.093888,            0.034708,            0.078299,              0.0712,              0.0032,              0.0032
                   1,            0.085331,            0.047778,             0.07765,                   0,                   0,                   0,                   0,            0.091538,            0.032412,            0.077784,            0.041479,           0.0064785,           0.0064785
                   2,            0.076116,            0.041715,            0.072011,            0.015064,             0.29209,            0.023412,           0.0076695,            0.064979,            0.032284,            0.072468,            0.011735,           0.0097353,           0.0097353
                   3,            0.069232,            0.039728,            0.067852,             0.28023,             0.18608,            0.062893,            0.021249,            0.058452,             0.02399,            0.065341,            0.009901,            0.009901,            0.009901
                   4,            0.063247,            0.036721,            0.064039,             0.16324,             0.31429,            0.098687,            0.036865,            0.051419,            0.026541,            0.061428,            0.009901,            0.009901,            0.009901
                   5,            0.058918,             0.03508,            0.060548,             0.26401,             0.25455,              0.1215,            0.043445,            0.047202,            0.023586,            0.059714,            0.009868,            0.009868,            0.009868
                   6,            0.056651,            0.033223,             0.05748,              0.3945,             0.30864,             0.18679,            0.068563,            0.044618,            0.020119,             0.05619,            0.009835,            0.009835,            0.009835
                   7,            0.055301,            0.033295,            0.054632,             0.36512,              0.3823,             0.27169,             0.11909,            0.041534,            0.020645,            0.052652,            0.009802,            0.009802,            0.009802
                   8,            0.054364,            0.032414,              0.0503,              0.4229,             0.39197,             0.29296,             0.13002,            0.040954,            0.018885,            0.048789,            0.009769,            0.009769,            0.009769
                   9,            0.053787,            0.032059,            0.046027,              0.6315,             0.36587,              0.3554,             0.15913,             0.03881,            0.019033,            0.045273,            0.009736,            0.009736,            0.009736
                  10,             0.05261,            0.030621,            0.041573,              0.6288,             0.39754,             0.39463,             0.18548,            0.038689,            0.019008,            0.041988,            0.009703,            0.009703,            0.009703
                  11,            0.052958,            0.031731,            0.038035,             0.51251,             0.47294,             0.43673,             0.19272,            0.038772,            0.018608,            0.039838,             0.00967,             0.00967,             0.00967
                  12,             0.05143,            0.031873,            0.034969,              0.6506,             0.45395,              0.4772,             0.22892,            0.036914,            0.018585,            0.037342,            0.009637,            0.009637,            0.009637
                  13,            0.051601,            0.031227,            0.032665,             0.45119,             0.51202,              0.4233,             0.20781,            0.039609,            0.018696,            0.035987,            0.009604,            0.009604,            0.009604
                  14,            0.051151,             0.03071,            0.030893,             0.69008,             0.47247,             0.50716,             0.23917,            0.037637,            0.017842,            0.033706,            0.009571,            0.009571,            0.009571
                  15,             0.05126,            0.031378,            0.029028,             0.54776,             0.53358,             0.49665,             0.23791,            0.038053,            0.017991,            0.032989,            0.009538,            0.009538,            0.009538
                  16,            0.050029,            0.030066,            0.027126,             0.49295,             0.64008,              0.5533,             0.28107,             0.03532,            0.017637,            0.031129,            0.009505,            0.009505,            0.009505
                  17,            0.049594,            0.030441,            0.026449,             0.48462,             0.65915,              0.5749,             0.29561,            0.034911,             0.01764,            0.030455,            0.009472,            0.009472,            0.009472
                  18,            0.048915,            0.030085,            0.024798,             0.41306,             0.70585,             0.56336,             0.27471,            0.035987,            0.017582,            0.030118,            0.009439,            0.009439,            0.009439
                  19,            0.049054,            0.030218,            0.023899,             0.43741,             0.73089,             0.59897,             0.30247,            0.035296,            0.017428,            0.028841,            0.009406,            0.009406,            0.009406
                  20,            0.048715,            0.029353,            0.023467,             0.48156,             0.66304,             0.56938,             0.31648,            0.034083,            0.017512,            0.028635,            0.009373,            0.009373,            0.009373
                  21,            0.047882,            0.028788,            0.022833,             0.46956,             0.71791,             0.59577,             0.30828,            0.036337,            0.017456,            0.029125,             0.00934,             0.00934,             0.00934
                  22,            0.047965,            0.029566,            0.022023,             0.46786,             0.74384,             0.61388,              0.3273,            0.034476,             0.01728,            0.028338,            0.009307,            0.009307,            0.009307
                  23,             0.04722,            0.029282,            0.021911,              0.4914,             0.74319,             0.62766,             0.34018,            0.033648,            0.017165,            0.028412,            0.009274,            0.009274,            0.009274
                  24,            0.047146,            0.029211,            0.020886,              0.5339,             0.70879,             0.62588,             0.34776,            0.033992,            0.017043,            0.027612,            0.009241,            0.009241,            0.009241
                  25,            0.046155,             0.02914,            0.020734,               0.506,             0.75694,             0.64299,             0.36187,            0.032547,            0.016985,            0.025848,            0.009208,            0.009208,            0.009208
                  26,            0.045883,            0.028363,            0.020165,             0.51978,             0.75462,             0.64031,             0.35048,            0.035101,            0.017013,             0.02597,            0.009175,            0.009175,            0.009175
                  27,            0.045471,            0.028775,            0.019886,             0.53502,             0.74442,             0.64764,             0.37275,            0.032917,            0.016827,            0.025479,            0.009142,            0.009142,            0.009142
                  28,            0.046445,            0.029164,            0.019378,             0.52598,             0.74223,             0.65909,             0.37329,            0.032755,            0.017133,            0.026127,            0.009109,            0.009109,            0.009109
                  29,             0.04518,            0.028747,             0.01929,              0.5283,              0.7621,             0.67984,              0.3566,             0.03357,            0.016902,             0.02499,            0.009076,            0.009076,            0.009076
                  30,            0.045001,            0.028995,            0.018455,             0.57715,             0.79962,             0.70102,             0.39871,            0.032082,            0.016898,            0.024354,            0.009043,            0.009043,            0.009043
                  31,            0.044658,            0.028833,            0.017685,             0.60089,             0.78759,             0.71313,             0.40789,            0.032408,            0.016773,            0.024223,             0.00901,             0.00901,             0.00901
                  32,            0.044799,            0.027934,             0.01804,              0.6246,             0.74761,             0.70941,             0.43173,            0.031257,            0.016661,            0.023081,            0.008977,            0.008977,            0.008977
                  33,            0.043657,            0.028941,             0.01738,             0.57594,             0.78586,             0.72381,             0.42274,            0.031122,            0.016627,              0.0228,            0.008944,            0.008944,            0.008944
                  34,            0.044644,            0.027385,            0.017156,             0.63186,             0.78484,             0.72997,             0.41129,            0.032185,            0.016664,            0.023585,            0.008911,            0.008911,            0.008911
                  35,            0.044227,            0.028949,            0.016732,             0.64545,             0.76834,             0.74052,             0.43561,            0.031392,            0.016639,            0.022352,            0.008878,            0.008878,            0.008878
                  36,            0.044232,            0.027935,            0.017008,             0.65668,             0.76474,             0.73567,             0.44696,            0.032407,            0.016474,            0.022199,            0.008845,            0.008845,            0.008845
                  37,            0.044546,            0.028579,             0.01681,             0.61338,             0.80721,             0.75875,              0.4459,            0.031673,            0.016445,            0.021525,            0.008812,            0.008812,            0.008812
                  38,            0.044734,            0.028934,            0.016218,             0.64598,              0.7616,             0.72274,             0.43436,            0.031186,            0.016405,            0.021282,            0.008779,            0.008779,            0.008779
                  39,            0.043612,             0.02689,            0.016143,              0.6659,              0.7981,             0.77176,              0.4736,            0.031456,            0.016476,            0.019859,            0.008746,            0.008746,            0.008746
                  40,            0.043319,            0.028452,             0.01617,             0.65943,              0.8063,             0.76678,              0.4656,            0.031104,            0.016336,            0.020101,            0.008713,            0.008713,            0.008713
                  41,            0.043118,              0.0275,            0.015199,             0.69252,             0.82172,             0.78529,             0.48414,            0.030113,            0.016369,             0.01875,             0.00868,             0.00868,             0.00868
                  42,            0.042778,            0.027272,            0.015118,             0.66437,             0.76961,              0.7533,             0.45304,            0.032046,            0.016976,            0.021843,            0.008647,            0.008647,            0.008647
                  43,            0.042848,            0.028742,            0.015165,             0.69505,             0.80971,             0.78936,             0.48614,            0.030907,            0.016351,            0.018156,            0.008614,            0.008614,            0.008614
                  44,            0.043309,            0.028809,            0.014743,             0.70908,             0.80089,             0.78923,             0.48403,            0.030669,            0.016314,            0.019024,            0.008581,            0.008581,            0.008581
                  45,            0.042963,            0.026484,            0.015508,             0.72119,             0.80008,             0.79161,             0.47232,            0.031609,            0.016422,            0.018112,            0.008548,            0.008548,            0.008548
                  46,            0.042259,            0.027318,            0.014801,             0.71305,             0.80614,             0.79771,             0.48972,            0.030141,            0.016341,            0.018713,            0.008515,            0.008515,            0.008515
                  47,            0.042681,            0.027925,            0.014385,             0.69601,              0.8193,             0.80452,             0.48567,            0.030311,            0.016234,            0.018171,            0.008482,            0.008482,            0.008482
                  48,            0.042163,            0.027392,            0.014382,             0.70061,             0.82098,             0.79145,             0.49548,            0.031118,            0.016065,            0.018095,            0.008449,            0.008449,            0.008449
                  49,            0.042531,             0.02699,            0.014344,              0.7124,             0.81495,             0.80336,             0.47988,             0.03098,             0.01637,            0.018269,            0.008416,            0.008416,            0.008416
