               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10774,            0.052391,            0.088558,                   0,                   0,                   0,                   0,            0.098784,            0.033336,            0.078997,              0.0712,              0.0032,              0.0032
                   1,            0.099012,            0.053101,            0.084644,                   0,                   0,                   0,                   0,            0.095821,             0.03426,             0.07881,            0.041479,           0.0064785,           0.0064785
                   2,            0.088727,            0.046909,            0.075807,           0.0030224,            0.026751,           0.0031709,           0.0010138,             0.09546,            0.030808,            0.077022,            0.011735,           0.0097353,           0.0097353
                   3,            0.076651,             0.04512,            0.068926,             0.64664,            0.085459,            0.027087,           0.0098189,            0.072418,            0.048927,            0.068827,            0.009901,            0.009901,            0.009901
                   4,            0.068384,            0.041183,            0.062627,             0.46768,             0.15835,            0.071928,            0.025802,            0.056454,            0.035976,            0.063885,            0.009901,            0.009901,            0.009901
                   5,            0.062921,            0.038513,            0.058132,             0.48804,             0.22781,             0.13118,            0.050111,            0.048765,            0.025319,            0.056481,            0.009868,            0.009868,            0.009868
                   6,            0.060027,            0.035803,            0.054707,             0.45312,             0.23203,             0.14925,            0.058514,             0.04833,            0.026723,               0.057,            0.009835,            0.009835,            0.009835
                   7,            0.058105,            0.035445,            0.052005,             0.61565,              0.2804,             0.24767,              0.1002,            0.044865,             0.02091,            0.050433,            0.009802,            0.009802,            0.009802
                   8,            0.056943,            0.034139,             0.04813,             0.62628,             0.29482,             0.28212,              0.1202,            0.043481,            0.020645,            0.049472,            0.009769,            0.009769,            0.009769
                   9,            0.055537,            0.033707,            0.045057,             0.66738,             0.27816,              0.3131,             0.13859,            0.041851,            0.020854,            0.046777,            0.009736,            0.009736,            0.009736
                  10,            0.054584,            0.031875,             0.04136,             0.48197,             0.41219,             0.37059,             0.17805,            0.039932,             0.01978,            0.043918,            0.009703,            0.009703,            0.009703
                  11,            0.054334,            0.032785,            0.037877,             0.65706,             0.38379,             0.38334,             0.17678,            0.039923,            0.020179,            0.042102,             0.00967,             0.00967,             0.00967
                  12,            0.053089,            0.032902,            0.034898,              0.6449,             0.43959,             0.46769,             0.22579,            0.038684,            0.019941,            0.039603,            0.009637,            0.009637,            0.009637
                  13,            0.052201,            0.032263,            0.032821,             0.40043,             0.51088,             0.42482,             0.21044,            0.040722,            0.018857,            0.038285,            0.009604,            0.009604,            0.009604
                  14,            0.051704,            0.031508,            0.031095,             0.40026,              0.5719,             0.48521,             0.23585,            0.038723,            0.018425,            0.034885,            0.009571,            0.009571,            0.009571
                  15,            0.051438,             0.03225,            0.029279,             0.61562,             0.51217,             0.50863,             0.25986,            0.035736,            0.018351,            0.035771,            0.009538,            0.009538,            0.009538
                  16,            0.050704,            0.030662,            0.027278,             0.70319,              0.4971,             0.52909,             0.27556,            0.036705,            0.018163,             0.03426,            0.009505,            0.009505,            0.009505
                  17,             0.05005,            0.030982,            0.026545,             0.43266,             0.58514,             0.51525,             0.26181,            0.038592,            0.018998,            0.035486,            0.009472,            0.009472,            0.009472
                  18,            0.049636,            0.030512,            0.024972,             0.48919,             0.64224,             0.56518,             0.28626,            0.036839,            0.017878,            0.032231,            0.009439,            0.009439,            0.009439
                  19,            0.049506,            0.030659,            0.024081,              0.4145,             0.69297,              0.5685,             0.29661,            0.035725,            0.018712,            0.031179,            0.009406,            0.009406,            0.009406
                  20,            0.048686,            0.029683,            0.023691,             0.51149,             0.65732,             0.57171,             0.30161,            0.036531,            0.017632,            0.030294,            0.009373,            0.009373,            0.009373
                  21,            0.048376,            0.029135,            0.023269,             0.52262,             0.66486,             0.58326,             0.30697,            0.038565,             0.01775,            0.029061,             0.00934,             0.00934,             0.00934
                  22,            0.048387,            0.029891,            0.022027,             0.44546,             0.68402,             0.57807,              0.3174,            0.035315,            0.017469,            0.029861,            0.009307,            0.009307,            0.009307
                  23,            0.047818,            0.029564,            0.021774,             0.43791,             0.63833,             0.57029,              0.3188,            0.034187,            0.017774,             0.03166,            0.009274,            0.009274,            0.009274
                  24,             0.04714,            0.029453,            0.020992,             0.46071,             0.62455,             0.55484,             0.30661,            0.037871,            0.018874,            0.030913,            0.009241,            0.009241,            0.009241
                  25,              0.0466,            0.029245,            0.020595,             0.49099,             0.69877,              0.6085,              0.3428,            0.034957,            0.017813,             0.02948,            0.009208,            0.009208,            0.009208
                  26,            0.045989,            0.028435,             0.02008,             0.50818,             0.61228,             0.56682,             0.29355,            0.037282,            0.017479,            0.029065,            0.009175,            0.009175,            0.009175
                  27,             0.04556,            0.028858,            0.019732,              0.5469,             0.71556,             0.65472,             0.38814,            0.032831,            0.016937,            0.027179,            0.009142,            0.009142,            0.009142
                  28,            0.046639,            0.029328,            0.019318,             0.58078,             0.72367,             0.67418,              0.3879,            0.032995,             0.01756,            0.028099,            0.009109,            0.009109,            0.009109
                  29,            0.045531,             0.02887,            0.019174,             0.56578,             0.66374,             0.64406,             0.34972,            0.034188,             0.01769,            0.027473,            0.009076,            0.009076,            0.009076
                  30,            0.045261,            0.029114,            0.018457,             0.54913,             0.74229,              0.6896,              0.3941,            0.032173,            0.017957,            0.024758,            0.009043,            0.009043,            0.009043
                  31,            0.044849,            0.028825,            0.017657,             0.59841,             0.75209,             0.70984,             0.42483,            0.031834,            0.016955,            0.025184,             0.00901,             0.00901,             0.00901
                  32,            0.044901,            0.027946,             0.01782,             0.60967,             0.76378,             0.71708,             0.43801,            0.032143,            0.016824,            0.023344,            0.008977,            0.008977,            0.008977
                  33,            0.043697,            0.028865,            0.017225,             0.59415,             0.74459,             0.70664,             0.41925,            0.031235,            0.016576,            0.023871,            0.008944,            0.008944,            0.008944
                  34,            0.044691,            0.027314,             0.01693,             0.63852,             0.79458,             0.74927,             0.43392,            0.032268,            0.016479,            0.021774,            0.008911,            0.008911,            0.008911
                  35,             0.04427,            0.028893,             0.01644,             0.61654,             0.77986,              0.7374,             0.43335,            0.032746,            0.016787,            0.022404,            0.008878,            0.008878,            0.008878
                  36,            0.044201,            0.027955,            0.016614,             0.64685,             0.76365,             0.73516,             0.44246,            0.031801,            0.016305,            0.020963,            0.008845,            0.008845,            0.008845
                  37,            0.044042,            0.028547,            0.016289,             0.62592,             0.73957,             0.73015,              0.4426,            0.031217,            0.016824,             0.02058,            0.008812,            0.008812,            0.008812
                  38,            0.044857,            0.029012,            0.015906,             0.68113,             0.78007,             0.76497,             0.46418,            0.031024,            0.016733,            0.020586,            0.008779,            0.008779,            0.008779
                  39,            0.043611,            0.026867,            0.015922,             0.68175,              0.7854,             0.77633,              0.4826,             0.03086,            0.016322,            0.018569,            0.008746,            0.008746,            0.008746
                  40,             0.04352,            0.028346,            0.015743,             0.68835,             0.79582,             0.77556,             0.47161,            0.030801,            0.016204,            0.018921,            0.008713,            0.008713,            0.008713
                  41,            0.042782,            0.027451,            0.014845,             0.67459,             0.80448,             0.77451,             0.48563,            0.031028,            0.016291,            0.019102,             0.00868,             0.00868,             0.00868
                  42,            0.042668,            0.027134,            0.014821,             0.68799,             0.78587,             0.77812,             0.48388,            0.031575,            0.016391,            0.019613,            0.008647,            0.008647,            0.008647
                  43,            0.042596,            0.028557,            0.014582,             0.68362,              0.8115,             0.78604,             0.48701,             0.03129,             0.01616,            0.018526,            0.008614,            0.008614,            0.008614
                  44,               0.043,            0.028565,            0.014505,             0.69198,             0.79571,             0.78601,             0.46735,            0.031514,            0.016257,            0.019846,            0.008581,            0.008581,            0.008581
                  45,            0.042451,            0.026304,            0.015152,              0.7237,             0.79476,             0.78745,              0.4962,            0.030885,            0.016135,            0.017806,            0.008548,            0.008548,            0.008548
                  46,            0.041977,            0.027147,             0.01464,             0.67927,             0.79566,             0.77759,             0.48806,            0.030647,            0.016323,            0.018691,            0.008515,            0.008515,            0.008515
