               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094192,            0.089519,            0.082748,                   0,                   0,                   0,                   0,            0.093619,            0.037181,            0.078976,            0.070385,           0.0032906,           0.0032906
                   1,            0.077838,            0.084858,             0.07594,             0.13858,             0.11205,            0.033917,           0.0098554,            0.061536,            0.026067,            0.072022,            0.040363,           0.0066021,           0.0066021
                   2,            0.070407,            0.079919,            0.072771,            0.093059,             0.22109,            0.066818,            0.023292,            0.054572,            0.027698,            0.069064,            0.010319,           0.0098915,           0.0098915
                   3,            0.065264,             0.08097,            0.070434,             0.17132,             0.26047,              0.1038,            0.036995,            0.048054,            0.025411,            0.064807,            0.009901,            0.009901,            0.009901
                   4,            0.061499,            0.074969,             0.06797,             0.23176,             0.29992,             0.14442,            0.064252,              0.0422,            0.021834,            0.059982,            0.009901,            0.009901,            0.009901
                   5,            0.059346,            0.075649,            0.065704,             0.41002,             0.31537,             0.18154,            0.084077,            0.040917,            0.021388,            0.056597,            0.009868,            0.009868,            0.009868
                   6,             0.05821,             0.07502,            0.063596,             0.27939,             0.32422,             0.21315,            0.094074,            0.040225,            0.020839,            0.054646,            0.009835,            0.009835,            0.009835
                   7,             0.05682,            0.072613,            0.061443,             0.39433,             0.36816,              0.2466,             0.11852,            0.039424,            0.020841,            0.051542,            0.009802,            0.009802,            0.009802
                   8,             0.05644,            0.073528,            0.059724,             0.69834,             0.26996,             0.30265,             0.13756,            0.039529,             0.02097,            0.047825,            0.009769,            0.009769,            0.009769
                   9,            0.055783,            0.072371,            0.058326,             0.42355,             0.40792,             0.31451,             0.15463,            0.037895,            0.020215,            0.047763,            0.009736,            0.009736,            0.009736
                  10,             0.05508,             0.07208,            0.056983,             0.68036,             0.36068,              0.3629,             0.18115,            0.037167,             0.02003,            0.044244,            0.009703,            0.009703,            0.009703
                  11,            0.054361,            0.072538,            0.056182,             0.71412,             0.36278,             0.41248,             0.21562,            0.036745,            0.019611,            0.043154,             0.00967,             0.00967,             0.00967
                  12,            0.053681,            0.071515,            0.054812,             0.76257,             0.37838,             0.44571,             0.21991,            0.036997,            0.019987,            0.040655,            0.009637,            0.009637,            0.009637
                  13,            0.053404,            0.070518,            0.053706,             0.78227,             0.35133,             0.43968,             0.23319,            0.036551,             0.01949,            0.039879,            0.009604,            0.009604,            0.009604
                  14,            0.053158,             0.07132,            0.052793,             0.50938,             0.52928,             0.47418,             0.25869,            0.035108,            0.019178,            0.037059,            0.009571,            0.009571,            0.009571
                  15,             0.05308,            0.070301,            0.052038,             0.48346,             0.53186,             0.46978,             0.25395,             0.03594,             0.01939,            0.036773,            0.009538,            0.009538,            0.009538
                  16,            0.052388,            0.068587,            0.051409,              0.5284,             0.53983,               0.484,             0.26335,             0.03506,            0.019196,             0.03433,            0.009505,            0.009505,            0.009505
                  17,            0.051999,            0.069398,            0.050832,             0.51988,              0.6111,             0.51401,             0.27348,            0.035598,            0.019223,             0.03439,            0.009472,            0.009472,            0.009472
                  18,            0.052355,            0.070868,            0.050318,             0.50062,              0.6269,             0.51305,             0.28321,            0.033807,            0.019165,            0.033676,            0.009439,            0.009439,            0.009439
                  19,             0.05169,            0.069359,             0.04983,             0.61549,             0.54347,             0.52749,             0.30026,            0.034349,            0.018955,            0.033243,            0.009406,            0.009406,            0.009406
                  20,            0.051374,            0.069655,            0.049091,             0.63546,              0.5331,             0.53675,             0.29847,            0.033876,             0.01894,            0.032821,            0.009373,            0.009373,            0.009373
                  21,            0.051281,            0.068096,            0.048681,              0.4681,             0.65852,             0.55028,             0.31812,            0.034234,            0.018731,            0.032843,             0.00934,             0.00934,             0.00934
                  22,            0.051126,            0.070048,            0.048448,             0.66749,             0.53995,             0.56246,             0.30802,            0.035526,            0.018782,            0.032971,            0.009307,            0.009307,            0.009307
                  23,            0.050514,            0.067961,             0.04821,             0.44636,             0.66529,             0.56362,             0.32519,            0.034496,            0.018758,            0.032343,            0.009274,            0.009274,            0.009274
                  24,            0.050536,            0.068837,            0.047164,             0.49389,             0.64993,             0.58038,             0.32903,            0.034276,            0.018788,            0.031692,            0.009241,            0.009241,            0.009241
                  25,            0.050537,            0.069848,            0.047407,             0.43379,             0.70557,             0.57342,             0.33404,            0.033861,            0.018583,            0.030659,            0.009208,            0.009208,            0.009208
                  26,            0.050562,            0.067943,            0.047286,             0.41288,             0.70966,             0.57195,             0.33227,            0.032843,            0.018604,            0.029889,            0.009175,            0.009175,            0.009175
                  27,            0.049934,            0.067583,            0.046757,             0.46601,             0.72214,             0.59334,             0.34433,            0.034027,            0.018526,            0.029979,            0.009142,            0.009142,            0.009142
                  28,            0.049582,            0.067241,            0.046014,             0.45443,             0.75941,              0.5929,             0.34419,            0.033645,            0.018437,            0.029561,            0.009109,            0.009109,            0.009109
                  29,            0.049617,            0.066738,            0.045958,             0.45719,             0.70477,              0.5968,             0.34913,            0.032972,            0.018482,             0.02928,            0.009076,            0.009076,            0.009076
                  30,             0.04979,            0.067883,            0.045441,             0.45493,             0.76398,             0.60011,             0.35902,            0.033068,            0.018433,            0.028799,            0.009043,            0.009043,            0.009043
                  31,            0.049359,            0.067039,            0.045244,             0.49448,             0.75629,             0.61534,             0.36034,             0.03279,            0.018327,            0.028757,             0.00901,             0.00901,             0.00901
                  32,            0.049225,            0.066974,            0.045406,             0.48815,             0.76069,             0.62339,             0.36812,            0.033055,            0.018264,            0.028094,            0.008977,            0.008977,            0.008977
                  33,            0.049633,            0.067213,            0.045032,             0.51082,             0.75288,             0.62685,             0.37777,            0.032942,            0.018215,            0.028275,            0.008944,            0.008944,            0.008944
                  34,            0.048835,             0.06568,            0.044807,             0.49005,             0.75973,             0.61835,             0.36432,            0.033059,            0.018433,            0.027991,            0.008911,            0.008911,            0.008911
                  35,            0.049168,            0.066985,            0.044441,             0.49507,             0.74923,             0.62142,             0.37604,            0.032428,            0.018305,             0.02819,            0.008878,            0.008878,            0.008878
                  36,            0.049075,            0.067077,             0.04432,             0.50833,             0.77148,             0.64404,              0.3892,             0.03209,            0.018144,            0.027263,            0.008845,            0.008845,            0.008845
                  37,            0.048919,            0.068517,            0.044164,             0.53318,              0.7565,             0.64535,             0.39256,            0.032712,            0.018072,            0.027301,            0.008812,            0.008812,            0.008812
                  38,            0.048618,            0.066699,             0.04412,              0.5022,             0.74808,             0.63686,             0.38846,            0.032283,            0.018113,            0.026778,            0.008779,            0.008779,            0.008779
                  39,            0.048686,            0.067368,            0.043363,             0.51771,             0.76925,             0.65143,             0.39743,            0.032474,            0.018103,            0.027568,            0.008746,            0.008746,            0.008746
                  40,            0.048171,            0.066459,            0.043387,             0.54538,              0.7852,             0.65959,             0.40662,            0.031755,            0.017968,            0.026403,            0.008713,            0.008713,            0.008713
                  41,            0.048455,             0.06613,            0.043019,              0.5709,             0.75709,             0.65638,             0.40816,            0.031831,            0.018026,            0.026259,             0.00868,             0.00868,             0.00868
                  42,             0.04823,            0.066312,            0.042946,             0.52828,             0.76243,             0.65853,             0.40523,            0.032076,            0.017927,            0.026343,            0.008647,            0.008647,            0.008647
                  43,            0.048115,            0.066697,            0.042838,             0.55718,              0.7727,              0.6777,              0.4204,             0.03159,            0.017931,            0.023466,            0.008614,            0.008614,            0.008614
                  44,            0.048206,            0.066136,            0.043538,              0.5623,             0.77515,             0.68335,             0.42282,             0.03155,            0.017981,             0.02328,            0.008581,            0.008581,            0.008581
                  45,            0.047843,            0.066224,            0.042714,             0.57586,             0.79251,             0.67031,             0.41563,            0.031348,            0.017954,            0.024484,            0.008548,            0.008548,            0.008548
                  46,             0.04761,            0.065686,            0.042545,             0.60755,             0.78424,             0.68616,             0.42784,            0.031303,            0.017921,            0.024847,            0.008515,            0.008515,            0.008515
                  47,            0.047736,            0.065808,            0.042617,             0.58995,             0.79566,             0.69631,             0.44151,            0.031504,            0.017788,            0.023843,            0.008482,            0.008482,            0.008482
                  48,            0.048247,             0.06793,            0.042339,             0.58903,             0.77833,             0.68696,             0.43327,            0.031516,            0.017832,            0.024265,            0.008449,            0.008449,            0.008449
                  49,            0.047649,            0.065613,            0.041771,             0.61054,              0.7713,             0.70883,              0.4482,            0.032094,            0.017886,            0.024962,            0.008416,            0.008416,            0.008416
                  50,            0.047339,            0.065767,            0.041687,             0.60124,             0.78295,             0.70696,             0.43955,            0.031622,            0.017907,            0.023653,            0.008383,            0.008383,            0.008383
                  51,            0.047435,            0.064945,             0.04156,             0.60712,             0.77972,             0.69976,             0.44809,            0.031336,              0.0177,            0.022931,             0.00835,             0.00835,             0.00835
                  52,            0.047352,            0.064878,            0.041373,             0.61507,             0.78737,             0.71147,             0.45171,            0.030551,            0.017812,            0.023942,            0.008317,            0.008317,            0.008317
                  53,            0.047383,            0.065891,            0.040963,              0.5901,             0.80382,             0.72126,             0.46167,            0.031106,            0.017698,            0.023585,            0.008284,            0.008284,            0.008284
                  54,            0.047425,            0.065106,            0.041211,             0.59384,             0.80211,             0.72061,             0.46047,            0.030929,            0.017735,            0.021401,            0.008251,            0.008251,            0.008251
                  55,            0.046985,            0.064296,            0.040805,             0.61285,             0.78818,             0.72378,             0.46328,            0.030669,             0.01764,            0.022578,            0.008218,            0.008218,            0.008218
                  56,            0.047285,            0.064583,             0.04083,             0.61152,             0.79756,             0.72346,              0.4632,            0.030753,            0.017657,            0.021723,            0.008185,            0.008185,            0.008185
                  57,            0.046966,            0.063936,            0.040832,             0.62087,             0.77811,             0.72164,             0.46328,            0.030762,            0.017743,            0.022259,            0.008152,            0.008152,            0.008152
                  58,            0.047241,            0.065649,            0.040937,             0.63811,             0.78929,             0.73445,             0.47502,            0.031017,            0.017648,            0.022313,            0.008119,            0.008119,            0.008119
                  59,            0.046634,            0.064643,            0.040723,             0.60881,             0.79608,             0.73475,              0.4791,            0.031184,            0.017649,            0.021996,            0.008086,            0.008086,            0.008086
                  60,            0.046343,             0.06492,            0.040006,             0.62123,             0.80864,             0.73722,             0.47955,            0.030791,            0.017582,            0.021259,            0.008053,            0.008053,            0.008053
                  61,            0.046548,            0.063275,            0.040243,              0.6345,             0.80896,             0.74802,             0.48881,            0.030349,            0.017579,            0.022768,             0.00802,             0.00802,             0.00802
                  62,            0.046793,            0.064159,            0.039633,             0.61927,             0.80678,             0.74753,             0.48832,            0.030374,             0.01753,            0.020953,            0.007987,            0.007987,            0.007987
                  63,            0.046659,            0.064437,            0.039807,             0.64842,              0.8186,             0.76734,             0.50093,            0.030513,            0.017546,            0.020603,            0.007954,            0.007954,            0.007954
                  64,            0.046542,             0.06484,            0.039673,              0.6606,             0.80735,             0.76136,             0.49768,            0.030413,            0.017506,            0.021089,            0.007921,            0.007921,            0.007921
                  65,             0.04643,             0.06388,            0.039797,             0.66765,             0.79656,             0.77123,             0.50613,            0.030195,            0.017563,            0.019448,            0.007888,            0.007888,            0.007888
                  66,            0.046618,            0.064438,            0.039452,             0.66351,             0.80913,              0.7648,             0.50022,            0.031084,             0.01754,            0.019891,            0.007855,            0.007855,            0.007855
                  67,            0.045825,            0.063934,            0.040056,             0.68686,             0.80136,             0.77551,             0.50924,             0.03008,            0.017473,            0.020127,            0.007822,            0.007822,            0.007822
                  68,             0.04632,            0.063688,            0.039477,             0.67451,             0.79284,             0.76807,             0.50779,            0.030739,            0.017527,             0.02028,            0.007789,            0.007789,            0.007789
                  69,            0.045871,            0.063885,             0.03925,             0.67152,             0.82037,             0.77871,             0.51492,             0.02983,            0.017447,            0.020597,            0.007756,            0.007756,            0.007756
                  70,            0.046075,            0.064901,            0.038988,             0.69292,             0.80666,             0.77873,             0.51575,            0.030524,             0.01746,            0.020226,            0.007723,            0.007723,            0.007723
                  71,            0.045985,            0.063765,            0.039027,             0.69806,              0.8044,             0.78384,             0.51831,             0.03044,            0.017535,            0.020436,             0.00769,             0.00769,             0.00769
                  72,            0.045791,            0.063199,            0.039032,             0.71877,             0.78934,             0.79047,             0.52724,            0.030351,            0.017411,            0.020759,            0.007657,            0.007657,            0.007657
                  73,            0.045665,            0.062479,            0.038634,             0.70818,              0.7862,             0.78312,             0.51571,            0.030858,            0.017542,            0.020121,            0.007624,            0.007624,            0.007624
                  74,             0.04576,            0.063676,             0.03875,             0.72946,             0.79369,             0.80168,             0.53179,            0.029911,            0.017427,            0.019043,            0.007591,            0.007591,            0.007591
                  75,             0.04576,            0.063255,            0.038423,             0.71632,             0.79411,             0.79563,             0.53165,            0.029632,            0.017493,            0.019631,            0.007558,            0.007558,            0.007558
                  76,            0.045873,            0.064308,            0.038202,             0.72754,             0.79539,             0.79803,             0.53109,             0.02981,            0.017392,            0.019038,            0.007525,            0.007525,            0.007525
                  77,            0.045678,            0.063023,            0.038095,             0.71213,             0.80978,              0.7958,             0.53728,            0.029118,            0.017281,            0.018597,            0.007492,            0.007492,            0.007492
                  78,            0.045348,            0.063686,            0.038141,             0.73986,             0.79355,             0.81202,             0.54305,            0.029602,            0.017427,            0.017419,            0.007459,            0.007459,            0.007459
                  79,            0.045817,            0.063931,            0.038212,             0.72762,             0.80694,             0.80583,             0.54091,            0.029477,            0.017345,            0.017789,            0.007426,            0.007426,            0.007426
                  80,             0.04574,            0.064134,             0.03777,             0.72923,             0.80596,             0.80638,             0.54245,             0.02962,            0.017272,            0.019251,            0.007393,            0.007393,            0.007393
