               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10186,            0.085083,            0.086349,                   0,                   0,                   0,                   0,            0.097499,            0.038562,            0.081268,            0.070385,           0.0032906,           0.0032906
                   1,            0.092249,            0.091047,            0.081173,             0.26785,            0.024899,           0.0091016,              0.0024,            0.086152,            0.035583,            0.074288,            0.040363,           0.0066021,           0.0066021
                   2,            0.077246,            0.084241,             0.07373,             0.11942,             0.12292,            0.025639,           0.0075904,            0.068306,            0.036383,            0.073693,            0.010319,           0.0098915,           0.0098915
                   3,            0.069391,            0.084288,            0.070403,             0.13075,             0.19582,            0.078437,            0.029934,            0.056938,            0.032238,            0.066544,            0.009901,            0.009901,            0.009901
                   4,            0.064015,             0.07812,            0.068304,             0.26295,             0.21784,             0.11383,            0.048148,            0.051039,            0.027364,            0.062681,            0.009901,            0.009901,            0.009901
                   5,            0.061133,             0.07836,            0.066257,             0.25747,             0.24833,             0.15933,            0.066553,            0.044282,            0.023683,            0.059657,            0.009868,            0.009868,            0.009868
                   6,            0.059496,            0.077213,            0.064372,             0.32556,             0.27639,             0.19728,            0.080786,            0.047202,            0.023747,            0.057792,            0.009835,            0.009835,            0.009835
                   7,            0.057576,            0.074259,            0.062052,             0.39722,             0.35425,             0.27194,             0.12361,             0.04072,            0.021612,            0.051469,            0.009802,            0.009802,            0.009802
                   8,            0.057095,            0.075047,            0.060203,             0.67547,             0.26851,             0.30115,             0.13866,            0.040405,            0.021614,            0.050403,            0.009769,            0.009769,            0.009769
                   9,            0.056251,            0.073685,            0.058689,             0.44976,             0.39507,             0.32293,             0.15618,            0.039057,            0.020539,            0.049737,            0.009736,            0.009736,            0.009736
                  10,            0.055216,            0.072968,            0.056973,             0.70264,             0.33889,             0.37368,             0.19224,            0.038283,            0.020216,             0.04483,            0.009703,            0.009703,            0.009703
                  11,            0.054801,            0.073125,            0.055907,             0.77135,             0.35517,             0.42095,             0.21728,            0.037645,            0.019709,            0.042378,             0.00967,             0.00967,             0.00967
                  12,             0.05375,            0.071968,            0.054321,             0.75366,                0.39,             0.43723,             0.21062,            0.038815,            0.020238,            0.040497,            0.009637,            0.009637,            0.009637
                  13,            0.053415,            0.070917,            0.053264,             0.62081,             0.45075,             0.45746,             0.24427,            0.037034,            0.019813,            0.038631,            0.009604,            0.009604,            0.009604
                  14,            0.053058,            0.071662,            0.052473,             0.46518,             0.52846,             0.45946,             0.25279,            0.036751,            0.019368,            0.037771,            0.009571,            0.009571,            0.009571
                  15,            0.052815,            0.070539,            0.051629,             0.50084,             0.54725,             0.49546,             0.27414,            0.036263,            0.019466,            0.036087,            0.009538,            0.009538,            0.009538
                  16,            0.052086,            0.068728,            0.050925,             0.53126,              0.5317,             0.48035,             0.26358,            0.036195,            0.019562,            0.039394,            0.009505,            0.009505,            0.009505
                  17,            0.051732,            0.069498,            0.050328,             0.66982,             0.52399,              0.5354,             0.29652,            0.035117,            0.018977,            0.032974,            0.009472,            0.009472,            0.009472
                  18,            0.051978,            0.070885,            0.049904,             0.53308,             0.60354,             0.53715,             0.30616,            0.034481,            0.019178,            0.033096,            0.009439,            0.009439,            0.009439
                  19,            0.051428,            0.069478,             0.04933,              0.5056,             0.62164,             0.55759,             0.32639,             0.03406,            0.018589,            0.031241,            0.009406,            0.009406,            0.009406
                  20,            0.050965,            0.069514,            0.048497,             0.48737,             0.65763,             0.57269,             0.33011,             0.03318,            0.018609,            0.030882,            0.009373,            0.009373,            0.009373
                  21,            0.050821,            0.067969,            0.048022,             0.49028,             0.66331,             0.56539,             0.32615,             0.03437,            0.018654,            0.029939,             0.00934,             0.00934,             0.00934
                  22,            0.050631,            0.069827,            0.047746,             0.53555,             0.64791,             0.60075,             0.34147,             0.03374,            0.018524,            0.029021,            0.009307,            0.009307,            0.009307
                  23,            0.050061,            0.067701,            0.047445,             0.47969,             0.68942,             0.57821,             0.34547,            0.033557,            0.018209,            0.029271,            0.009274,            0.009274,            0.009274
                  24,            0.050065,            0.068556,            0.046447,             0.44717,             0.71568,             0.60224,             0.34794,            0.033145,            0.018407,            0.028801,            0.009241,            0.009241,            0.009241
                  25,            0.049829,            0.069481,            0.046503,             0.48123,             0.68644,             0.58504,             0.33065,            0.034191,             0.01982,             0.02921,            0.009208,            0.009208,            0.009208
                  26,            0.050044,            0.067487,            0.046361,             0.50531,             0.71879,             0.60007,             0.35663,            0.032755,            0.018347,            0.027699,            0.009175,            0.009175,            0.009175
                  27,            0.049256,            0.067114,            0.045772,             0.51008,             0.75569,             0.61614,              0.3676,            0.032943,            0.018202,             0.02813,            0.009142,            0.009142,            0.009142
                  28,            0.048915,            0.066855,            0.044918,             0.51225,             0.74629,             0.62818,             0.36886,            0.033314,            0.018411,            0.027387,            0.009109,            0.009109,            0.009109
                  29,            0.048987,             0.06619,            0.044957,             0.48175,             0.74247,             0.62136,             0.37903,            0.032281,            0.018118,            0.028005,            0.009076,            0.009076,            0.009076
                  30,            0.049124,            0.067401,            0.044331,             0.49541,             0.79903,             0.63023,             0.38793,            0.031918,            0.018148,            0.026568,            0.009043,            0.009043,            0.009043
                  31,            0.048581,            0.066466,            0.044015,             0.49483,             0.73775,             0.65112,             0.39333,            0.031972,            0.018016,            0.028179,             0.00901,             0.00901,             0.00901
                  32,            0.048426,            0.066514,            0.044202,             0.54222,             0.77386,              0.6444,             0.39017,            0.031906,            0.017917,            0.027056,            0.008977,            0.008977,            0.008977
                  33,            0.048873,            0.066757,            0.043899,             0.54974,             0.76214,             0.66015,             0.40704,             0.03198,            0.018055,            0.026547,            0.008944,            0.008944,            0.008944
                  34,            0.048054,            0.064991,            0.043506,              0.5451,             0.75774,              0.6615,             0.41202,            0.032626,            0.018185,            0.026774,            0.008911,            0.008911,            0.008911
                  35,            0.048375,             0.06636,            0.043228,             0.53106,             0.77817,             0.67678,             0.42418,            0.031777,            0.017886,            0.025407,            0.008878,            0.008878,            0.008878
                  36,            0.048344,            0.066345,            0.042848,             0.55319,             0.77649,             0.68131,             0.42984,            0.032154,            0.017888,            0.025286,            0.008845,            0.008845,            0.008845
                  37,              0.0481,            0.067726,            0.042678,             0.53773,             0.76962,             0.67195,             0.43291,             0.03147,            0.017717,            0.025423,            0.008812,            0.008812,            0.008812
                  38,            0.047668,            0.065943,            0.042654,             0.54297,             0.74446,             0.66637,             0.42865,            0.031458,            0.017814,            0.026102,            0.008779,            0.008779,            0.008779
                  39,            0.047744,            0.066629,            0.041994,             0.58131,             0.77289,             0.71484,             0.45904,            0.030996,            0.017609,             0.02415,            0.008746,            0.008746,            0.008746
