               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099177,            0.088545,            0.085146,                   0,                   0,                   0,                   0,            0.097914,            0.038106,            0.079691,            0.070385,           0.0032906,           0.0032906
                   1,            0.087106,            0.088807,            0.078593,             0.47483,            0.044282,            0.015432,           0.0049322,            0.082269,            0.031196,            0.074505,            0.040363,           0.0066021,           0.0066021
                   2,            0.078067,            0.083467,            0.074413,            0.045267,             0.14159,            0.013988,           0.0039229,            0.068549,            0.058445,             0.07183,            0.010319,           0.0098915,           0.0098915
                   3,            0.072141,            0.085072,            0.072077,             0.19694,             0.19871,            0.040328,            0.014938,            0.063189,            0.062092,             0.06844,            0.009901,            0.009901,            0.009901
                   4,             0.06749,            0.079526,            0.070368,             0.14223,             0.19681,             0.07664,            0.029179,            0.050023,            0.025931,            0.065613,            0.009901,            0.009901,            0.009901
                   5,            0.065078,            0.080303,            0.068888,             0.21503,             0.19887,             0.09648,            0.038796,            0.048478,            0.024532,            0.063368,            0.009868,            0.009868,            0.009868
                   6,            0.063054,            0.080137,            0.067806,              0.2575,             0.27236,             0.12856,            0.055619,             0.04529,            0.023608,            0.061242,            0.009835,            0.009835,            0.009835
                   7,            0.061621,             0.07748,            0.066523,             0.13284,              0.2705,             0.10988,            0.045071,             0.04617,            0.023471,            0.060292,            0.009802,            0.009802,            0.009802
                   8,            0.060841,            0.078133,            0.065291,             0.28609,             0.31475,             0.16079,            0.070588,            0.044958,            0.023178,            0.057786,            0.009769,            0.009769,            0.009769
                   9,            0.060169,            0.077069,             0.06426,             0.27686,              0.3399,             0.18572,            0.085389,            0.042636,               0.022,             0.05665,            0.009736,            0.009736,            0.009736
                  10,             0.05904,             0.07665,            0.063162,             0.27175,             0.33662,              0.2037,            0.092276,            0.044326,            0.021897,            0.055039,            0.009703,            0.009703,            0.009703
                  11,            0.058549,            0.077029,            0.062588,             0.21943,             0.35223,             0.23319,             0.10996,            0.042615,            0.021039,            0.053334,             0.00967,             0.00967,             0.00967
                  12,            0.057757,            0.075805,            0.061392,             0.30755,             0.39722,             0.26972,             0.12723,            0.039719,            0.021187,            0.049951,            0.009637,            0.009637,            0.009637
                  13,            0.057168,            0.074826,            0.060737,             0.28399,             0.36021,             0.23539,             0.11314,            0.043878,            0.021682,            0.051026,            0.009604,            0.009604,            0.009604
                  14,             0.05706,            0.075663,            0.060037,             0.34736,             0.39734,             0.28999,             0.14468,            0.041567,            0.020632,            0.048562,            0.009571,            0.009571,            0.009571
                  15,            0.056713,            0.074698,            0.059199,             0.35906,             0.40079,             0.30877,             0.15815,            0.040178,            0.020863,            0.046042,            0.009538,            0.009538,            0.009538
                  16,            0.056045,            0.072667,            0.058516,             0.38018,              0.4324,             0.33999,             0.16664,            0.039526,             0.02088,              0.0461,            0.009505,            0.009505,            0.009505
                  17,            0.055763,            0.073567,            0.057954,             0.62557,             0.35406,             0.36419,              0.1787,            0.040404,            0.020618,            0.044356,            0.009472,            0.009472,            0.009472
                  18,            0.055993,            0.074927,            0.057355,             0.56759,             0.40239,              0.3741,             0.18971,            0.038154,            0.020435,            0.043868,            0.009439,            0.009439,            0.009439
                  19,            0.055587,            0.073637,            0.056675,             0.64484,             0.35889,             0.38547,             0.19658,            0.038063,              0.0201,            0.041998,            0.009406,            0.009406,            0.009406
                  20,            0.055128,            0.073749,            0.055853,             0.45137,             0.48132,             0.41914,             0.21038,            0.038873,            0.020368,            0.041562,            0.009373,            0.009373,            0.009373
                  21,            0.055114,            0.072177,             0.05542,             0.69884,             0.38843,             0.40309,             0.20958,            0.039526,            0.020043,            0.041812,             0.00934,             0.00934,             0.00934
                  22,            0.054886,            0.074096,            0.054912,             0.69139,             0.40579,             0.44131,             0.22439,            0.037995,            0.020157,             0.04027,            0.009307,            0.009307,            0.009307
                  23,            0.054425,            0.072128,            0.054535,             0.68441,             0.40736,             0.44096,             0.23163,            0.037507,            0.019823,            0.038961,            0.009274,            0.009274,            0.009274
                  24,            0.054409,            0.072963,            0.053565,             0.71914,              0.3924,             0.44191,             0.21475,            0.038436,            0.020029,            0.040777,            0.009241,            0.009241,            0.009241
                  25,            0.054333,            0.074214,             0.05354,             0.69322,              0.4414,             0.46743,             0.24059,            0.037736,            0.020166,             0.03773,            0.009208,            0.009208,            0.009208
                  26,             0.05429,            0.071867,            0.053268,             0.46835,             0.57673,             0.48398,             0.26117,            0.036636,            0.019825,            0.035968,            0.009175,            0.009175,            0.009175
                  27,            0.053723,            0.071606,            0.052555,             0.63148,              0.4409,             0.46947,             0.24179,            0.037928,            0.019988,            0.038124,            0.009142,            0.009142,            0.009142
                  28,            0.053277,            0.071292,            0.051888,             0.55881,             0.53479,             0.50728,             0.26524,            0.036523,            0.019669,            0.034709,            0.009109,            0.009109,            0.009109
                  29,            0.053485,            0.070806,            0.051894,             0.74141,             0.43716,             0.50532,             0.26012,            0.037218,            0.019531,            0.035282,            0.009076,            0.009076,            0.009076
                  30,             0.05344,             0.07203,            0.051231,             0.56961,             0.50397,             0.51412,             0.27786,            0.036356,            0.019645,             0.03414,            0.009043,            0.009043,            0.009043
                  31,            0.053121,            0.071477,            0.051083,             0.51978,             0.56695,             0.53279,             0.28056,            0.036566,            0.019507,             0.03391,             0.00901,             0.00901,             0.00901
                  32,            0.052961,            0.071214,            0.051134,             0.63192,             0.51561,             0.53398,             0.29319,            0.036033,            0.019413,            0.033382,            0.008977,            0.008977,            0.008977
                  33,            0.053275,            0.071528,             0.05077,             0.45492,             0.57288,              0.5169,             0.27775,            0.037166,            0.019594,            0.034001,            0.008944,            0.008944,            0.008944
                  34,            0.052517,            0.069679,             0.05049,             0.51241,             0.60981,             0.54419,             0.30211,            0.036218,            0.019436,             0.03205,            0.008911,            0.008911,            0.008911
                  35,            0.053048,            0.071173,            0.050198,             0.50472,             0.59177,             0.53342,             0.29818,            0.035931,            0.019325,            0.032328,            0.008878,            0.008878,            0.008878
                  36,            0.052794,            0.071333,            0.050088,             0.41837,             0.62862,             0.52964,             0.29338,            0.036019,            0.019469,             0.03424,            0.008845,            0.008845,            0.008845
                  37,            0.052816,            0.072852,            0.049745,             0.50329,             0.61753,             0.54643,             0.30418,            0.035702,            0.019199,             0.03217,            0.008812,            0.008812,            0.008812
                  38,            0.052335,            0.070915,             0.04986,              0.5242,             0.61258,             0.55326,             0.31487,            0.035292,            0.019232,            0.031062,            0.008779,            0.008779,            0.008779
                  39,            0.052346,            0.071741,            0.049259,             0.48089,             0.65048,             0.55742,             0.31476,            0.035325,            0.019291,            0.031009,            0.008746,            0.008746,            0.008746
                  40,            0.051848,            0.070623,            0.049095,             0.46415,             0.65157,             0.55161,             0.31373,            0.035498,            0.019269,            0.030676,            0.008713,            0.008713,            0.008713
                  41,             0.05215,            0.070384,            0.048843,             0.48857,             0.64088,             0.56696,             0.32275,             0.03462,            0.018929,            0.030234,             0.00868,             0.00868,             0.00868
                  42,            0.051995,            0.070582,            0.048666,             0.48443,             0.65391,             0.56694,             0.32646,            0.035328,            0.018952,            0.030754,            0.008647,            0.008647,            0.008647
                  43,            0.051822,            0.070953,            0.048619,              0.5084,             0.67024,              0.5672,             0.32517,            0.034455,            0.018844,            0.030398,            0.008614,            0.008614,            0.008614
                  44,             0.05183,            0.070458,            0.049355,             0.52599,             0.63587,             0.56314,             0.32073,            0.034754,            0.019087,            0.030456,            0.008581,            0.008581,            0.008581
                  45,            0.051679,            0.070567,            0.048517,             0.52132,             0.64812,             0.57311,              0.3284,            0.034499,            0.019032,            0.029717,            0.008548,            0.008548,            0.008548
                  46,            0.051469,            0.069763,            0.048312,              0.4649,             0.68545,             0.58099,             0.33146,            0.034455,            0.018972,            0.030008,            0.008515,            0.008515,            0.008515
                  47,             0.05143,            0.070147,            0.048434,              0.4977,             0.67044,             0.58399,             0.33953,            0.033885,            0.018794,            0.029694,            0.008482,            0.008482,            0.008482
                  48,             0.05203,            0.072287,            0.048389,             0.52534,             0.67712,             0.59055,             0.34531,            0.033798,            0.018864,            0.029349,            0.008449,            0.008449,            0.008449
                  49,            0.051339,            0.069939,            0.047757,             0.52162,              0.6687,             0.58364,             0.34467,            0.033925,            0.018867,            0.030068,            0.008416,            0.008416,            0.008416
                  50,            0.051079,            0.070126,            0.047665,             0.52275,             0.69442,             0.59902,             0.34951,            0.033979,            0.018824,            0.028789,            0.008383,            0.008383,            0.008383
                  51,            0.051217,            0.069278,            0.047597,             0.52707,             0.68628,             0.58473,             0.34564,             0.03379,            0.018646,              0.0287,             0.00835,             0.00835,             0.00835
                  52,            0.051077,            0.069083,            0.047461,               0.498,             0.66268,             0.58691,             0.34335,             0.03392,            0.018832,            0.029924,            0.008317,            0.008317,            0.008317
                  53,            0.051108,            0.070174,            0.047021,              0.4983,             0.71271,             0.60422,              0.3494,            0.034218,            0.018714,            0.029077,            0.008284,            0.008284,            0.008284
                  54,            0.051112,            0.069471,            0.047411,             0.51732,             0.71309,             0.61722,             0.36431,            0.033712,            0.018621,            0.028707,            0.008251,            0.008251,            0.008251
                  55,            0.050748,            0.068786,            0.046987,             0.49719,             0.70014,             0.60083,              0.3625,            0.033197,            0.018548,             0.02817,            0.008218,            0.008218,            0.008218
                  56,            0.051054,            0.068835,            0.047007,             0.47776,             0.72397,             0.60915,             0.35517,            0.033456,            0.018713,            0.028316,            0.008185,            0.008185,            0.008185
                  57,            0.050721,            0.068196,            0.047016,             0.50273,             0.74066,             0.60839,             0.36855,            0.033463,            0.018379,            0.028496,            0.008152,            0.008152,            0.008152
                  58,            0.050972,            0.070145,            0.047202,             0.50392,             0.72762,             0.61511,             0.36565,            0.033485,            0.018535,            0.027705,            0.008119,            0.008119,            0.008119
                  59,             0.05061,            0.069169,            0.047029,              0.5111,              0.7154,              0.6125,             0.36979,            0.033588,            0.018474,             0.02713,            0.008086,            0.008086,            0.008086
                  60,            0.050207,            0.069343,            0.046247,             0.49538,             0.73742,             0.61275,             0.36775,            0.033015,            0.018461,            0.027607,            0.008053,            0.008053,            0.008053
                  61,            0.050461,            0.067717,             0.04663,              0.5177,             0.71748,             0.62116,             0.37378,            0.033216,            0.018393,            0.027494,             0.00802,             0.00802,             0.00802
                  62,            0.050695,            0.068498,            0.045969,             0.52669,             0.71131,             0.63072,             0.37575,            0.032948,            0.018335,            0.027514,            0.007987,            0.007987,            0.007987
                  63,            0.050378,            0.068829,            0.046186,             0.51872,             0.72379,             0.62794,             0.38238,            0.033105,              0.0185,            0.027892,            0.007954,            0.007954,            0.007954
                  64,            0.050295,            0.069402,            0.045965,             0.53665,             0.72307,              0.6322,              0.3826,            0.032798,            0.018443,            0.027287,            0.007921,            0.007921,            0.007921
                  65,             0.05035,            0.068325,            0.046074,             0.54411,              0.7263,             0.63414,             0.38638,            0.032939,            0.018327,            0.026572,            0.007888,            0.007888,            0.007888
                  66,            0.050471,            0.069001,            0.045936,             0.54976,             0.72638,             0.63301,             0.38608,            0.032832,            0.018366,            0.026608,            0.007855,            0.007855,            0.007855
                  67,            0.049788,             0.06858,            0.046473,             0.52623,             0.75538,             0.64829,             0.39113,            0.032596,            0.018293,            0.026653,            0.007822,            0.007822,            0.007822
                  68,            0.050305,            0.068097,            0.045996,             0.55997,              0.7332,             0.64514,             0.39689,            0.032483,            0.018245,            0.026432,            0.007789,            0.007789,            0.007789
                  69,            0.049885,            0.068512,             0.04576,             0.53439,             0.74523,             0.64025,             0.38919,            0.033082,            0.018389,            0.026362,            0.007756,            0.007756,            0.007756
                  70,            0.049933,            0.069416,            0.045552,             0.52601,             0.77237,             0.64646,             0.39724,            0.032424,            0.018228,             0.02627,            0.007723,            0.007723,            0.007723
                  71,            0.049952,            0.068371,            0.045815,             0.53144,             0.74183,             0.64133,             0.39541,            0.032702,            0.018252,            0.026543,             0.00769,             0.00769,             0.00769
                  72,            0.049653,            0.067645,             0.04555,             0.53978,             0.73791,             0.63857,             0.39418,             0.03265,            0.018273,            0.026953,            0.007657,            0.007657,            0.007657
                  73,            0.049613,            0.066905,            0.045367,             0.54325,             0.74117,             0.65075,             0.40021,            0.032893,            0.018341,            0.026492,            0.007624,            0.007624,            0.007624
                  74,            0.049668,            0.068186,            0.045361,             0.53169,             0.76789,             0.65726,             0.40799,            0.032234,            0.018217,            0.026492,            0.007591,            0.007591,            0.007591
                  75,            0.049748,            0.067814,            0.045111,             0.55322,             0.75213,             0.67069,              0.4176,             0.03236,            0.018194,            0.025769,            0.007558,            0.007558,            0.007558
                  76,            0.049923,            0.068967,            0.045197,             0.54449,             0.76731,             0.65941,              0.4104,            0.031936,             0.01818,            0.025771,            0.007525,            0.007525,            0.007525
                  77,            0.049673,             0.06762,            0.044914,             0.54609,             0.75718,              0.6566,             0.40613,            0.032257,            0.018181,            0.026127,            0.007492,            0.007492,            0.007492
                  78,            0.049335,            0.068423,            0.045102,             0.55555,             0.74693,             0.66382,             0.41537,            0.031841,            0.018146,            0.025336,            0.007459,            0.007459,            0.007459
                  79,            0.049867,            0.068537,            0.045095,             0.54045,             0.77767,             0.67158,             0.41568,            0.032141,            0.018059,            0.025506,            0.007426,            0.007426,            0.007426
                  80,            0.049699,            0.068659,            0.044597,             0.54279,             0.76653,             0.67156,             0.41845,            0.032269,            0.018098,            0.025809,            0.007393,            0.007393,            0.007393
                  81,             0.04937,            0.068604,            0.044315,             0.56773,              0.7442,              0.6801,             0.42839,            0.032038,            0.018091,            0.025457,             0.00736,             0.00736,             0.00736
                  82,            0.049711,            0.069283,            0.044481,             0.55131,             0.76498,             0.67199,             0.42495,            0.031647,            0.018031,            0.024956,            0.007327,            0.007327,            0.007327
                  83,            0.049474,            0.069559,             0.04478,             0.56364,             0.76916,             0.67839,             0.42527,            0.031597,            0.018059,            0.025094,            0.007294,            0.007294,            0.007294
                  84,            0.049011,            0.067728,            0.044453,              0.5813,              0.7491,             0.68686,             0.43495,            0.031724,            0.018066,            0.025038,            0.007261,            0.007261,            0.007261
                  85,            0.049101,            0.067881,            0.044137,             0.56945,             0.74122,             0.68419,             0.43383,            0.031315,            0.017952,            0.024697,            0.007228,            0.007228,            0.007228
                  86,            0.049014,              0.0679,            0.044499,              0.5834,              0.7382,             0.68445,             0.43443,            0.031543,            0.018023,            0.024953,            0.007195,            0.007195,            0.007195
                  87,            0.049527,            0.070042,            0.044409,             0.58229,             0.75421,             0.68599,             0.43558,            0.031668,            0.018008,            0.024637,            0.007162,            0.007162,            0.007162
                  88,            0.049209,            0.068064,            0.044176,             0.56623,             0.75225,             0.69101,             0.43684,            0.031381,            0.017983,            0.024978,            0.007129,            0.007129,            0.007129
                  89,            0.049247,            0.068634,            0.044263,             0.57379,              0.7577,             0.69568,             0.44243,            0.031311,            0.017938,             0.02476,            0.007096,            0.007096,            0.007096
                  90,            0.048837,             0.06837,            0.043957,             0.57868,             0.74855,             0.69498,             0.44345,             0.03143,             0.01791,            0.024524,            0.007063,            0.007063,            0.007063
                  91,            0.049106,            0.068779,            0.044177,             0.57978,             0.76213,              0.6953,             0.44348,            0.031481,            0.017952,            0.024405,             0.00703,             0.00703,             0.00703
                  92,            0.048822,            0.066286,            0.044192,             0.59189,             0.76579,              0.7064,             0.45134,            0.031321,            0.017939,            0.024351,            0.006997,            0.006997,            0.006997
                  93,            0.048849,            0.067911,            0.044433,             0.59636,             0.76977,             0.70559,             0.45323,             0.03164,            0.017917,            0.024051,            0.006964,            0.006964,            0.006964
                  94,            0.048908,            0.066779,            0.043986,             0.60753,             0.76283,             0.71386,             0.46016,            0.031459,            0.017896,            0.024512,            0.006931,            0.006931,            0.006931
                  95,            0.048722,            0.067265,            0.043607,             0.59232,             0.74929,             0.70575,             0.45436,            0.031254,            0.017933,            0.024399,            0.006898,            0.006898,            0.006898
                  96,            0.048709,             0.06782,            0.043462,             0.60425,             0.76814,             0.71516,              0.4571,            0.031044,            0.017907,            0.023908,            0.006865,            0.006865,            0.006865
                  97,            0.048812,            0.067722,            0.042986,             0.62274,             0.75502,             0.72446,             0.46834,            0.031323,            0.017856,            0.024165,            0.006832,            0.006832,            0.006832
                  98,               0.049,            0.067032,            0.044097,             0.62645,             0.75528,              0.7208,             0.46617,             0.03124,            0.017921,            0.023807,            0.006799,            0.006799,            0.006799
                  99,            0.048888,            0.068644,            0.043536,              0.6192,             0.76192,             0.72101,             0.46303,            0.031296,            0.017879,            0.023672,            0.006766,            0.006766,            0.006766
                 100,            0.048943,            0.067703,            0.043628,             0.62304,             0.74396,             0.72572,             0.46554,            0.031081,            0.017808,            0.023595,            0.006733,            0.006733,            0.006733
                 101,            0.048702,            0.066167,            0.043793,             0.60943,             0.76618,             0.72122,             0.46782,            0.031135,            0.017795,             0.02387,              0.0067,              0.0067,              0.0067
                 102,            0.048506,            0.067034,            0.043176,             0.59945,              0.7453,             0.72183,             0.46651,            0.030842,            0.017791,            0.023807,            0.006667,            0.006667,            0.006667
                 103,            0.048892,            0.067383,            0.042779,             0.61524,             0.75057,             0.73247,              0.4731,            0.030945,            0.017735,            0.024121,            0.006634,            0.006634,            0.006634
                 104,            0.048772,            0.067806,            0.043265,             0.62055,             0.76902,             0.73317,             0.47304,            0.031204,            0.017755,            0.023418,            0.006601,            0.006601,            0.006601
                 105,            0.048486,            0.067607,            0.043089,              0.6384,             0.76062,             0.73862,             0.47914,            0.031212,            0.017752,            0.023127,            0.006568,            0.006568,            0.006568
                 106,            0.048754,            0.067099,            0.043568,             0.61368,             0.77003,             0.73602,             0.47682,            0.031219,            0.017777,            0.023176,            0.006535,            0.006535,            0.006535
                 107,             0.04823,            0.066249,            0.042739,              0.6519,             0.74133,             0.73077,              0.4749,            0.031313,            0.017775,            0.023076,            0.006502,            0.006502,            0.006502
                 108,            0.048473,            0.067067,            0.042677,             0.60819,             0.77528,             0.73681,             0.47744,             0.03105,            0.017812,            0.022794,            0.006469,            0.006469,            0.006469
                 109,            0.048667,            0.067556,             0.04271,             0.60376,             0.79517,             0.74027,             0.48058,             0.03094,            0.017764,            0.022874,            0.006436,            0.006436,            0.006436
                 110,            0.048352,            0.066994,            0.042768,              0.6461,             0.74432,             0.73899,             0.48282,            0.030953,            0.017794,            0.023139,            0.006403,            0.006403,            0.006403
                 111,             0.04827,            0.067442,            0.042504,             0.63881,             0.76319,             0.74184,             0.48183,            0.030906,            0.017778,             0.02278,             0.00637,             0.00637,             0.00637
                 112,            0.048362,            0.067286,            0.042431,             0.64541,               0.754,             0.74449,              0.4839,            0.030804,            0.017751,            0.022641,            0.006337,            0.006337,            0.006337
                 113,            0.048499,            0.067706,            0.042941,              0.6412,             0.76923,             0.74771,             0.48448,            0.030922,            0.017723,            0.022692,            0.006304,            0.006304,            0.006304
                 114,            0.048233,            0.067865,            0.042623,             0.64997,             0.77386,             0.74542,             0.48735,            0.030758,            0.017714,            0.022289,            0.006271,            0.006271,            0.006271
                 115,            0.048306,            0.067339,             0.04237,             0.61606,             0.78981,             0.74627,             0.48747,            0.030503,            0.017698,            0.022002,            0.006238,            0.006238,            0.006238
                 116,            0.048095,            0.065423,            0.042027,             0.62777,             0.78884,             0.74463,             0.48734,              0.0307,            0.017702,            0.022109,            0.006205,            0.006205,            0.006205
                 117,            0.048017,            0.066403,            0.042264,             0.62933,             0.78496,             0.74316,             0.48852,            0.030787,            0.017702,            0.022128,            0.006172,            0.006172,            0.006172
                 118,            0.048135,            0.067627,            0.042256,             0.64232,             0.78826,             0.74643,             0.48969,            0.030845,             0.01769,             0.02216,            0.006139,            0.006139,            0.006139
                 119,            0.047895,            0.067124,            0.042183,             0.65067,             0.76884,             0.75062,             0.49299,            0.030671,            0.017658,            0.021974,            0.006106,            0.006106,            0.006106
                 120,            0.048027,            0.066875,            0.042393,             0.66841,             0.77148,             0.75372,             0.49508,            0.030594,             0.01766,            0.022053,            0.006073,            0.006073,            0.006073
                 121,              0.0477,            0.066742,            0.041931,             0.65561,                0.77,             0.75604,             0.49727,            0.030448,             0.01765,            0.021832,             0.00604,             0.00604,             0.00604
                 122,            0.047805,            0.065654,            0.042294,             0.67045,             0.76003,             0.75738,             0.50005,            0.030506,            0.017634,            0.021898,            0.006007,            0.006007,            0.006007
                 123,            0.048021,            0.067501,            0.042027,             0.65054,             0.78771,             0.75745,             0.49905,            0.030508,            0.017627,            0.021997,            0.005974,            0.005974,            0.005974
                 124,            0.047789,            0.066319,             0.04184,             0.66041,             0.79122,             0.75811,             0.50036,            0.030566,            0.017635,            0.021786,            0.005941,            0.005941,            0.005941
