               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10182,             0.04785,            0.091074,            0.044229,            0.091931,           0.0094431,           0.0028473,            0.074175,            0.037963,            0.080624,              0.0712,              0.0032,              0.0032
                   1,            0.068472,            0.036754,            0.078081,             0.02427,             0.18125,            0.026313,           0.0091769,            0.061946,            0.027094,            0.073271,            0.041479,           0.0064785,           0.0064785
                   2,            0.064372,            0.032326,            0.072796,             0.14244,             0.21988,            0.081617,            0.033728,            0.044581,            0.019454,            0.069252,            0.011735,           0.0097353,           0.0097353
                   3,            0.057593,            0.031794,            0.068481,             0.14393,             0.28074,             0.12704,            0.054127,            0.045253,            0.018515,             0.06291,            0.009901,            0.009901,            0.009901
                   4,            0.054163,            0.030304,            0.063014,             0.19523,             0.31675,              0.1781,            0.082874,            0.043541,            0.018195,            0.059192,            0.009901,            0.009901,            0.009901
                   5,             0.05117,            0.029593,            0.056647,             0.41452,             0.30601,             0.26712,             0.12523,            0.037288,            0.017412,            0.054633,            0.009868,            0.009868,            0.009868
                   6,            0.050443,            0.028683,            0.050114,             0.58029,             0.33365,             0.30448,              0.1572,            0.037509,            0.017793,            0.048202,            0.009835,            0.009835,            0.009835
                   7,            0.050042,            0.029079,            0.045147,             0.71111,              0.3426,              0.3852,             0.19826,            0.035736,            0.017352,            0.043726,            0.009802,            0.009802,            0.009802
                   8,             0.04938,            0.028551,            0.039629,             0.66093,             0.43388,             0.42078,             0.21086,            0.035547,            0.016938,            0.039465,            0.009769,            0.009769,            0.009769
                   9,            0.049135,            0.028527,            0.036114,             0.61331,             0.48776,             0.44248,             0.23213,            0.035787,            0.017111,            0.036854,            0.009736,            0.009736,            0.009736
                  10,            0.048331,            0.027412,            0.032213,             0.67057,             0.51958,             0.49836,             0.26832,            0.035626,              0.0165,            0.036008,            0.009703,            0.009703,            0.009703
                  11,            0.048127,            0.028442,            0.029775,             0.61344,             0.56564,             0.53117,             0.28233,            0.034138,             0.01664,            0.033755,             0.00967,             0.00967,             0.00967
                  12,            0.046864,            0.028845,            0.027272,             0.61998,             0.55409,             0.52795,             0.27682,            0.033372,            0.016933,             0.03387,            0.009637,            0.009637,            0.009637
                  13,             0.04689,            0.028566,            0.025409,             0.47254,             0.66521,             0.54831,             0.30344,            0.033689,            0.016818,            0.031944,            0.009604,            0.009604,            0.009604
                  14,            0.046974,            0.028218,            0.024334,             0.46662,             0.63191,             0.54129,             0.29789,            0.033409,            0.016564,            0.032312,            0.009571,            0.009571,            0.009571
                  15,            0.046695,            0.028902,            0.023493,             0.43565,             0.71766,             0.60287,             0.35439,            0.032558,            0.016395,            0.029459,            0.009538,            0.009538,            0.009538
                  16,            0.045979,            0.027777,            0.021959,             0.44286,              0.7355,             0.60129,             0.34703,            0.032142,            0.016809,            0.029379,            0.009505,            0.009505,            0.009505
                  17,             0.04552,            0.028155,            0.021865,             0.44898,             0.71516,             0.58369,             0.33877,            0.033527,            0.016813,            0.028963,            0.009472,            0.009472,            0.009472
                  18,            0.045792,            0.027894,            0.020609,              0.4957,             0.75309,             0.63851,             0.34955,            0.033348,            0.016421,            0.027862,            0.009439,            0.009439,            0.009439
                  19,            0.045319,            0.028252,            0.020139,             0.48111,             0.76314,             0.64548,             0.35605,            0.035041,             0.01651,            0.028289,            0.009406,            0.009406,            0.009406
                  20,            0.045056,            0.027402,            0.020043,             0.51228,             0.69868,             0.60085,             0.34857,            0.033457,            0.017053,             0.02788,            0.009373,            0.009373,            0.009373
                  21,             0.04421,            0.027053,            0.019903,             0.49314,             0.73261,             0.63023,             0.36917,              0.0326,            0.016678,            0.027304,             0.00934,             0.00934,             0.00934
                  22,            0.044738,            0.027862,            0.018854,             0.50388,             0.75538,             0.62162,             0.36679,            0.031158,             0.01647,            0.028098,            0.009307,            0.009307,            0.009307
                  23,            0.044311,            0.027491,            0.018677,             0.56396,             0.75875,             0.67647,             0.40189,            0.031452,            0.016333,            0.023972,            0.009274,            0.009274,            0.009274
                  24,            0.044083,            0.027591,            0.018086,             0.58868,             0.72332,             0.66177,             0.38914,            0.031295,            0.016277,            0.024647,            0.009241,            0.009241,            0.009241
                  25,             0.04287,            0.027485,            0.017926,             0.59812,             0.76143,             0.69484,             0.42668,            0.031065,            0.016127,            0.024725,            0.009208,            0.009208,            0.009208
                  26,            0.043139,            0.026655,            0.017575,             0.54244,             0.71817,             0.63764,             0.36929,            0.031783,            0.016239,            0.026904,            0.009175,            0.009175,            0.009175
                  27,            0.042703,            0.027254,             0.01698,             0.59892,             0.74882,             0.68179,             0.40822,            0.032201,            0.016514,            0.022839,            0.009142,            0.009142,            0.009142
                  28,            0.043531,            0.027845,            0.016973,             0.60778,             0.77384,             0.71288,             0.43019,            0.031704,            0.016411,            0.022282,            0.009109,            0.009109,            0.009109
                  29,            0.043089,            0.027388,            0.016836,             0.60172,             0.79141,             0.70991,             0.43792,            0.030183,            0.016145,            0.022278,            0.009076,            0.009076,            0.009076
                  30,            0.042577,            0.027645,             0.01608,             0.62146,             0.79197,             0.71758,              0.4467,            0.029953,            0.016308,            0.022583,            0.009043,            0.009043,            0.009043
                  31,            0.042274,            0.027501,            0.015692,             0.62846,             0.78752,              0.7302,             0.44873,            0.030143,            0.016164,             0.02029,             0.00901,             0.00901,             0.00901
                  32,            0.042297,            0.026722,            0.016016,             0.62413,             0.75152,             0.71514,              0.4415,             0.03019,            0.016223,            0.021751,            0.008977,            0.008977,            0.008977
                  33,            0.041619,            0.027645,            0.015523,             0.63898,             0.75917,             0.71571,             0.44279,            0.030605,            0.015952,              0.0222,            0.008944,            0.008944,            0.008944
                  34,            0.042433,            0.026173,            0.015069,             0.60328,             0.79234,              0.7282,             0.44089,            0.030381,            0.016346,            0.021646,            0.008911,            0.008911,            0.008911
                  35,            0.041786,            0.027784,            0.015043,               0.614,              0.7776,             0.71926,             0.44125,            0.030927,            0.016079,            0.020055,            0.008878,            0.008878,            0.008878
                  36,            0.041919,            0.026852,            0.015689,             0.65667,             0.81488,             0.75091,             0.47203,            0.029172,            0.015858,            0.019454,            0.008845,            0.008845,            0.008845
                  37,             0.04204,            0.027509,            0.015251,             0.61223,             0.80285,             0.73775,             0.44892,            0.030094,            0.016055,            0.022645,            0.008812,            0.008812,            0.008812
                  38,            0.042836,             0.02795,            0.014789,             0.62856,             0.79149,             0.73775,             0.45007,            0.030187,             0.01634,            0.020095,            0.008779,            0.008779,            0.008779
                  39,            0.041556,            0.026065,            0.014843,             0.65826,               0.801,             0.75015,             0.46646,            0.030585,            0.016345,            0.021115,            0.008746,            0.008746,            0.008746
                  40,            0.041857,            0.027505,            0.014838,             0.66922,             0.77598,             0.74608,             0.47589,            0.029062,            0.016121,            0.021119,            0.008713,            0.008713,            0.008713
                  41,            0.041214,            0.026567,            0.013963,             0.62411,             0.76455,             0.72402,             0.45452,            0.029794,            0.016654,            0.024268,             0.00868,             0.00868,             0.00868
                  42,            0.040674,            0.026306,            0.014243,             0.67468,             0.79942,             0.75385,             0.47906,            0.029355,            0.015892,            0.019127,            0.008647,            0.008647,            0.008647
                  43,            0.040957,            0.027678,             0.01407,             0.68039,             0.79273,             0.76338,             0.49159,            0.029572,            0.015883,            0.020995,            0.008614,            0.008614,            0.008614
                  44,             0.04167,            0.027918,            0.013829,             0.66436,             0.79041,             0.76674,             0.48141,            0.029275,            0.016012,            0.019325,            0.008581,            0.008581,            0.008581
                  45,            0.041069,             0.02558,              0.0145,             0.70778,             0.81954,             0.79041,             0.50903,            0.029106,            0.016024,            0.018958,            0.008548,            0.008548,            0.008548
                  46,            0.040573,             0.02641,             0.01394,             0.67473,             0.81873,             0.78423,             0.50606,            0.029157,            0.016016,            0.018874,            0.008515,            0.008515,            0.008515
                  47,            0.041273,            0.027124,            0.013485,               0.712,             0.82074,             0.78712,             0.51285,            0.028367,            0.015862,             0.01805,            0.008482,            0.008482,            0.008482
                  48,            0.040813,            0.026605,            0.013306,             0.71184,             0.82215,             0.78978,             0.50833,            0.029244,            0.015814,            0.017746,            0.008449,            0.008449,            0.008449
                  49,            0.040903,            0.026141,            0.013631,             0.70877,             0.79826,             0.79238,             0.50168,            0.029045,            0.015997,            0.018769,            0.008416,            0.008416,            0.008416
                  50,            0.040224,            0.026276,            0.012678,             0.68372,             0.79019,             0.77809,              0.4937,            0.028867,            0.016119,             0.01898,            0.008383,            0.008383,            0.008383
                  51,            0.040667,            0.027126,            0.012423,             0.71767,             0.81443,             0.79701,             0.50979,            0.029235,            0.016003,             0.01749,             0.00835,             0.00835,             0.00835
                  52,             0.04052,            0.025932,            0.012664,             0.72356,             0.82101,              0.8103,             0.51978,            0.028799,            0.015843,            0.017589,            0.008317,            0.008317,            0.008317
                  53,            0.040507,            0.027009,            0.012418,             0.71076,             0.79489,             0.78309,             0.51302,            0.029059,            0.015717,            0.017589,            0.008284,            0.008284,            0.008284
                  54,            0.039852,            0.026507,            0.012736,             0.73353,             0.82155,             0.80342,              0.5236,            0.028803,            0.015796,            0.016494,            0.008251,            0.008251,            0.008251
                  55,            0.040224,            0.026744,            0.012471,             0.71788,             0.81009,             0.80205,             0.52335,             0.02916,            0.016123,            0.019135,            0.008218,            0.008218,            0.008218
                  56,            0.040248,            0.026814,            0.012496,             0.75627,              0.8133,             0.81344,              0.5245,            0.028671,            0.015982,            0.016617,            0.008185,            0.008185,            0.008185
                  57,            0.040362,            0.027312,            0.012318,             0.73199,             0.80124,             0.79981,             0.52389,             0.02838,            0.015909,            0.016582,            0.008152,            0.008152,            0.008152
                  58,            0.040084,            0.026552,            0.012085,             0.76135,             0.81746,             0.81321,             0.53568,            0.028484,            0.015798,            0.017047,            0.008119,            0.008119,            0.008119
                  59,            0.040156,            0.026739,            0.011512,             0.73819,             0.81562,             0.80012,             0.52548,              0.0281,            0.015717,            0.017106,            0.008086,            0.008086,            0.008086
                  60,            0.040579,            0.027086,             0.01189,             0.69679,             0.80427,             0.79201,             0.51165,            0.029397,             0.01584,            0.019341,            0.008053,            0.008053,            0.008053
