               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094348,            0.049025,             0.08549,             0.72092,            0.023286,            0.014542,           0.0042489,            0.062543,            0.041423,            0.083484,              0.0712,              0.0032,              0.0032
                   1,            0.067716,            0.035885,            0.075595,             0.10258,             0.28185,            0.072546,            0.028978,             0.04995,            0.023754,            0.071175,            0.041479,           0.0064785,           0.0064785
                   2,            0.063061,            0.031285,            0.070834,            0.086432,             0.30937,             0.10087,            0.034125,            0.054207,            0.021365,            0.064572,            0.011735,           0.0097353,           0.0097353
                   3,             0.05674,            0.030559,            0.063765,             0.17558,             0.41262,             0.22929,            0.094277,            0.040406,            0.018798,            0.056655,            0.009901,            0.009901,            0.009901
                   4,            0.052282,            0.029119,            0.053152,             0.31786,             0.43892,             0.32258,             0.17291,            0.040015,            0.017592,            0.048526,            0.009901,            0.009901,            0.009901
                   5,             0.04993,            0.028261,            0.042996,             0.49237,             0.52824,             0.45227,             0.23613,            0.034337,            0.016715,            0.041049,            0.009868,            0.009868,            0.009868
                   6,            0.048514,            0.027363,            0.035118,             0.62684,             0.49429,             0.48135,             0.26385,            0.035845,            0.016578,            0.036799,            0.009835,            0.009835,            0.009835
                   7,            0.047201,            0.027659,            0.030371,             0.61443,             0.54335,             0.54913,             0.29948,            0.032507,            0.016758,            0.033685,            0.009802,            0.009802,            0.009802
                   8,             0.04733,             0.02729,            0.025761,             0.40826,             0.63796,             0.53955,             0.30276,            0.034905,            0.016313,            0.032705,            0.009769,            0.009769,            0.009769
                   9,            0.046101,            0.027252,            0.023804,             0.45621,               0.719,             0.60242,             0.33513,            0.032699,            0.016363,            0.030127,            0.009736,            0.009736,            0.009736
                  10,            0.044751,            0.026089,            0.021843,             0.48782,             0.75788,             0.62264,             0.36595,            0.033065,            0.015949,            0.029267,            0.009703,            0.009703,            0.009703
                  11,            0.044816,            0.027244,            0.020482,              0.5284,             0.79665,             0.65159,             0.36486,            0.031903,            0.015993,              0.0285,             0.00967,             0.00967,             0.00967
                  12,            0.043775,            0.027469,            0.019463,             0.50714,             0.76165,             0.63558,             0.37791,            0.031627,            0.015979,            0.028583,            0.009637,            0.009637,            0.009637
                  13,            0.043919,            0.027349,            0.018249,             0.46821,             0.78122,             0.60071,             0.35986,            0.032771,            0.016006,            0.029559,            0.009604,            0.009604,            0.009604
                  14,            0.043561,            0.026958,            0.017894,             0.53738,             0.75408,             0.64362,             0.38142,            0.032391,            0.016189,            0.026829,            0.009571,            0.009571,            0.009571
                  15,            0.043421,            0.027728,            0.017547,             0.56319,             0.79738,             0.70718,             0.42548,            0.031344,            0.015982,            0.024466,            0.009538,            0.009538,            0.009538
                  16,            0.042965,            0.026457,            0.016658,             0.56536,             0.79705,             0.70388,             0.41535,            0.030565,            0.016106,            0.025574,            0.009505,            0.009505,            0.009505
                  17,             0.04259,            0.026911,            0.016525,             0.59255,             0.75969,             0.70306,             0.43344,            0.030386,            0.015877,            0.024489,            0.009472,            0.009472,            0.009472
                  18,             0.04189,            0.026604,              0.0155,             0.61394,             0.75459,             0.71517,             0.45143,            0.029461,            0.015762,            0.023486,            0.009439,            0.009439,            0.009439
                  19,            0.042414,            0.026979,            0.015424,              0.6378,             0.70637,             0.68885,             0.41599,            0.031482,            0.016002,            0.026039,            0.009406,            0.009406,            0.009406
                  20,            0.042041,            0.026032,            0.015266,             0.64332,             0.76951,             0.73037,              0.4705,            0.029757,            0.015682,            0.021755,            0.009373,            0.009373,            0.009373
                  21,            0.041176,            0.025747,            0.014945,             0.64937,             0.78736,             0.73744,             0.44629,            0.031921,            0.015812,            0.021598,             0.00934,             0.00934,             0.00934
                  22,            0.041795,            0.026626,            0.014253,             0.63319,             0.80047,              0.7485,             0.47527,             0.02935,            0.015629,            0.021433,            0.009307,            0.009307,            0.009307
