               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10701,             0.05145,            0.087493,                   0,                   0,                   0,                   0,            0.095807,             0.03475,            0.078905,              0.0712,              0.0032,              0.0032
                   1,            0.096819,            0.052367,            0.083398,                   0,                   0,                   0,                   0,            0.095839,            0.034733,            0.078219,            0.041479,           0.0064785,           0.0064785
                   2,            0.085094,            0.045233,            0.074881,           0.0061124,            0.056431,           0.0075698,           0.0023622,            0.089791,            0.031076,            0.075369,            0.011735,           0.0097353,           0.0097353
                   3,            0.074942,            0.043773,             0.06905,             0.52839,             0.13337,            0.043799,            0.013767,            0.063722,            0.033805,            0.066169,            0.009901,            0.009901,            0.009901
                   4,            0.068432,            0.040082,             0.06345,             0.42555,             0.11455,            0.045179,            0.016384,            0.059403,            0.057252,            0.066053,            0.009901,            0.009901,            0.009901
                   5,            0.063993,            0.038309,            0.058904,             0.49057,             0.18595,            0.094465,            0.033901,            0.054556,            0.037497,            0.061608,            0.009868,            0.009868,            0.009868
                   6,            0.061017,            0.035732,            0.055175,             0.46234,             0.22991,             0.12888,            0.047413,            0.049152,            0.023746,            0.056611,            0.009835,            0.009835,            0.009835
                   7,            0.059221,            0.035534,            0.052722,             0.48943,             0.16852,             0.12273,            0.045715,            0.055164,            0.027339,            0.063162,            0.009802,            0.009802,            0.009802
                   8,            0.058143,            0.034473,             0.04972,             0.45685,             0.30791,             0.21914,            0.089132,            0.045935,            0.024355,            0.053655,            0.009769,            0.009769,            0.009769
                   9,            0.056719,            0.033955,            0.047008,             0.59794,             0.29382,             0.26345,             0.10933,            0.047531,             0.02176,            0.052318,            0.009736,            0.009736,            0.009736
                  10,            0.055725,             0.03221,            0.043173,             0.63341,             0.34543,             0.35673,             0.15958,            0.040829,            0.019956,            0.043847,            0.009703,            0.009703,            0.009703
                  11,            0.055408,            0.033197,            0.039511,             0.63899,             0.33027,             0.33008,              0.1477,            0.041821,            0.019578,            0.040823,             0.00967,             0.00967,             0.00967
                  12,            0.054638,            0.033366,            0.036536,             0.64894,             0.43274,             0.45326,             0.21884,            0.038585,            0.019058,             0.03754,            0.009637,            0.009637,            0.009637
                  13,            0.053741,            0.032733,            0.033808,             0.41696,             0.54572,             0.44318,             0.19488,            0.039909,            0.018651,            0.035732,            0.009604,            0.009604,            0.009604
                  14,            0.053558,            0.032218,            0.032125,             0.65565,             0.41639,              0.4493,             0.20667,              0.0405,            0.019252,             0.03632,            0.009571,            0.009571,            0.009571
                  15,            0.053341,             0.03287,            0.030367,               0.623,             0.44819,             0.47964,             0.22168,            0.039774,            0.019014,            0.035499,            0.009538,            0.009538,            0.009538
                  16,             0.05241,            0.031369,            0.028493,             0.41099,             0.62608,              0.5322,             0.25957,            0.037292,            0.018626,            0.032719,            0.009505,            0.009505,            0.009505
                  17,            0.051694,            0.031701,            0.027858,             0.68929,             0.51917,              0.5337,             0.27667,             0.03606,            0.018119,            0.031041,            0.009472,            0.009472,            0.009472
                  18,            0.051715,              0.0311,            0.025959,             0.40112,              0.6542,             0.53305,             0.25182,            0.038506,              0.0187,            0.031685,            0.009439,            0.009439,            0.009439
                  19,            0.051132,            0.031353,            0.025225,             0.41968,             0.67339,             0.57235,             0.28322,            0.037819,            0.018077,            0.029612,            0.009406,            0.009406,            0.009406
                  20,            0.050517,            0.030395,            0.024931,             0.44651,             0.65347,             0.55761,             0.29372,            0.037097,            0.018044,            0.028775,            0.009373,            0.009373,            0.009373
                  21,            0.049841,            0.029849,            0.024536,             0.49568,             0.67533,             0.58174,             0.29214,            0.036843,            0.017881,            0.029542,             0.00934,             0.00934,             0.00934
                  22,            0.049808,            0.030746,            0.023371,             0.42799,             0.65769,             0.54804,             0.29098,             0.03655,            0.018577,            0.032701,            0.009307,            0.009307,            0.009307
                  23,            0.049437,            0.030254,            0.023263,             0.49539,             0.68173,             0.60388,             0.31175,            0.035549,            0.017683,            0.028044,            0.009274,            0.009274,            0.009274
