               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11107,            0.049292,            0.089789,                   0,                   0,                   0,                   0,            0.098422,            0.033043,            0.078978,              0.0712,              0.0032,              0.0032
                   1,            0.099088,            0.052789,            0.085029,                   0,                   0,                   0,                   0,            0.095389,            0.034859,            0.078519,            0.041479,           0.0064785,           0.0064785
                   2,            0.090316,            0.047602,            0.077398,           0.0050858,            0.042869,           0.0049539,           0.0015393,            0.092812,            0.030669,            0.076051,            0.011735,           0.0097353,           0.0097353
                   3,            0.077637,            0.045175,            0.070687,             0.63847,            0.076553,            0.019748,           0.0061612,            0.072934,            0.055623,            0.071399,            0.009901,            0.009901,            0.009901
                   4,            0.070065,            0.041352,            0.064973,             0.54212,             0.12121,            0.048679,            0.017193,            0.056094,            0.040032,            0.066239,            0.009901,            0.009901,            0.009901
                   5,            0.064551,            0.039103,            0.060544,             0.62106,              0.1703,             0.10115,             0.03564,            0.054083,            0.030956,            0.062137,            0.009868,            0.009868,            0.009868
                   6,            0.061994,            0.036487,            0.057269,             0.64632,             0.16043,             0.11118,            0.042017,            0.051856,            0.025925,            0.063036,            0.009835,            0.009835,            0.009835
                   7,            0.060358,            0.036239,             0.05462,             0.72929,             0.15932,             0.15388,            0.056203,            0.048712,            0.027558,            0.057797,            0.009802,            0.009802,            0.009802
                   8,            0.058871,            0.035104,            0.051726,             0.57858,             0.27527,             0.23737,            0.097288,            0.043153,            0.022444,            0.051961,            0.009769,            0.009769,            0.009769
                   9,            0.056792,            0.034449,              0.0494,             0.54127,             0.31538,             0.25277,             0.10596,            0.049306,            0.022636,            0.051292,            0.009736,            0.009736,            0.009736
                  10,            0.055964,            0.032548,            0.046207,             0.52677,             0.30982,             0.27013,             0.12416,            0.044334,            0.022209,             0.05067,            0.009703,            0.009703,            0.009703
                  11,            0.055597,            0.033662,            0.042797,             0.60564,             0.34557,             0.33208,              0.1528,            0.042354,            0.020488,            0.045933,             0.00967,             0.00967,             0.00967
                  12,             0.05435,            0.033813,            0.039653,             0.41315,              0.4507,             0.39399,             0.18006,                0.04,             0.02048,            0.044221,            0.009637,            0.009637,            0.009637
                  13,            0.054073,            0.033185,            0.036998,             0.47431,             0.44985,             0.37997,             0.18076,            0.042771,            0.019721,            0.042263,            0.009604,            0.009604,            0.009604
                  14,            0.053368,            0.032423,            0.035101,             0.65584,             0.40763,             0.41978,              0.1759,            0.041661,            0.020672,            0.040109,            0.009571,            0.009571,            0.009571
                  15,            0.053368,            0.033174,            0.032828,             0.61894,             0.47972,             0.43906,             0.19446,            0.041595,            0.019031,            0.036701,            0.009538,            0.009538,            0.009538
                  16,            0.052758,             0.03161,            0.030476,             0.67696,             0.46424,             0.50897,             0.24672,            0.038404,            0.018771,            0.035144,            0.009505,            0.009505,            0.009505
                  17,            0.052165,            0.031873,            0.029532,             0.71245,             0.49824,             0.53956,             0.24764,            0.039721,            0.018721,            0.034738,            0.009472,            0.009472,            0.009472
                  18,            0.051279,            0.031412,            0.027434,             0.38701,             0.59167,             0.51956,             0.25107,            0.039136,            0.018547,            0.033658,            0.009439,            0.009439,            0.009439
                  19,            0.051647,            0.031531,             0.02642,             0.38144,             0.65068,              0.5547,              0.2599,            0.039118,            0.018832,            0.031256,            0.009406,            0.009406,            0.009406
                  20,            0.050782,            0.030571,            0.025729,             0.36621,              0.6235,             0.52832,             0.27721,            0.037151,            0.018379,            0.031087,            0.009373,            0.009373,            0.009373
                  21,            0.049967,            0.030132,             0.02523,             0.45581,             0.64689,              0.5556,             0.28625,            0.036573,            0.018644,            0.031327,             0.00934,             0.00934,             0.00934
                  22,            0.050294,            0.030781,            0.024162,             0.41625,             0.69551,             0.55401,              0.2868,            0.035935,             0.01786,            0.030212,            0.009307,            0.009307,            0.009307
                  23,            0.049403,            0.030541,            0.023724,             0.44915,             0.64606,             0.55964,             0.28255,            0.036014,             0.01913,            0.029686,            0.009274,            0.009274,            0.009274
                  24,            0.049414,             0.03037,            0.022469,             0.46265,             0.71244,             0.59361,             0.31721,            0.035028,            0.017623,            0.029171,            0.009241,            0.009241,            0.009241
                  25,             0.04831,            0.030168,            0.022132,             0.47086,             0.74143,             0.62488,             0.34063,            0.034141,            0.017499,            0.028033,            0.009208,            0.009208,            0.009208
                  26,            0.047888,            0.029421,            0.021707,              0.5047,             0.72797,             0.62741,             0.34419,            0.035254,            0.017729,            0.027102,            0.009175,            0.009175,            0.009175
                  27,            0.047374,            0.029948,            0.021455,             0.47425,             0.70613,              0.6134,             0.33603,            0.036001,            0.017667,            0.027677,            0.009142,            0.009142,            0.009142
                  28,            0.048472,            0.030252,            0.020957,             0.52912,             0.71997,             0.64081,              0.3614,            0.033139,            0.017261,            0.026969,            0.009109,            0.009109,            0.009109
                  29,            0.047525,            0.029906,            0.020709,             0.55089,             0.72528,             0.66681,             0.37351,            0.033783,            0.017467,            0.026914,            0.009076,            0.009076,            0.009076
